"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.341,,01/01/2019,12/31/2019
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.981,,01/01/2019,12/31/2019
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.599,,01/01/2019,12/31/2019
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.747,,01/01/2019,12/31/2019
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.699,,01/01/2019,12/31/2019
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),1.150,,01/01/2019,12/31/2019
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,1.003,,01/01/2019,12/31/2019
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,2.141,,01/01/2019,12/31/2019
AK,HAI_3_SIR,SSI - Colon Surgery,1.492,,01/01/2019,12/31/2019
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.246,,01/01/2019,12/31/2019
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.867,,01/01/2019,12/31/2019
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.774,,01/01/2019,12/31/2019
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.385,,01/01/2019,12/31/2019
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.207,,01/01/2019,12/31/2019
AK,HAI_5_SIR,MRSA Bacteremia,0.710,,01/01/2019,12/31/2019
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.533,,01/01/2019,12/31/2019
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.820,,01/01/2019,12/31/2019
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.665,,01/01/2019,12/31/2019
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.625,,01/01/2019,12/31/2019
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.811,,01/01/2019,12/31/2019
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.713,,01/01/2019,12/31/2019
