"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,93,5,2,96,90,8,2,95,87,11,2,95,3773,961,26,01/01/2019,12/31/2019
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,99,91,7,2,95,89,9,2,95,87,11,2,95,13602,4063,30,01/01/2019,12/31/2019
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97,3,0,98,90,8,2,94,87,11,2,94,86,12,2,94,37722,11613,31,01/01/2019,12/31/2019
Colorado,97,3,0,99,92,6,2,95,88,10,2,94,84,14,2,94,13233,3835,29,01/01/2019,12/31/2019
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98,2,0,99,89,9,2,94,86,11,3,94,83,15,2,93,731,227,31,01/01/2019,12/31/2019
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,
Florida,97,3,0,98,91,7,2,95,87,11,2,95,87,11,2,95,26349,9681,37,01/01/2019,12/31/2019
Georgia,98,2,0,99,92,6,2,95,91,8,1,96,90,8,2,96,17130,4248,25,01/01/2019,12/31/2019
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,98,2,0,99,92,6,2,95,87,11,2,95,87,11,2,95,4051,1617,40,01/01/2019,12/31/2019
Idaho,98,2,0,99,95,4,1,97,90,8,2,95,89,9,2,95,1077,359,33,01/01/2019,12/31/2019
Illinois,97,3,0,99,91,7,2,95,88,10,2,94,86,12,2,94,8858,3122,35,01/01/2019,12/31/2019
Indiana,98,2,0,99,94,4,2,96,93,6,1,96,92,6,2,97,1967,793,40,01/01/2019,12/31/2019
Iowa,97,3,0,99,90,8,2,94,83,15,2,93,82,16,2,93,1323,507,38,01/01/2019,12/31/2019
Kansas,97,3,0,98,89,9,2,93,86,12,2,94,84,14,2,93,1541,695,45,01/01/2019,12/31/2019
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisiana,98,2,0,99,92,6,2,95,89,9,2,95,89,9,2,95,7915,2212,28,01/01/2019,12/31/2019
Maine,99,1,0,99,94,5,1,96,92,7,1,96,89,10,1,96,1212,377,31,01/01/2019,12/31/2019
Maryland,94,5,1,97,88,9,3,93,85,11,4,93,82,14,4,92,3592,466,13,01/01/2019,12/31/2019
Massachusetts,98,2,0,99,92,7,1,96,88,10,2,95,87,11,2,95,1270,521,41,01/01/2019,12/31/2019
Michigan,98,2,0,99,91,7,2,95,89,9,2,95,89,10,1,96,10996,3745,34,01/01/2019,12/31/2019
Minnesota,98,2,0,99,92,7,1,96,88,11,1,95,84,15,1,94,5876,2258,38,01/01/2019,12/31/2019
Mississippi,97,2,1,98,93,5,2,96,92,6,2,97,91,6,3,95,3415,892,26,01/01/2019,12/31/2019
Missouri,98,2,0,99,92,7,1,95,89,9,2,95,86,13,1,95,21154,7659,36,01/01/2019,12/31/2019
Montana,99,1,0,99,93,6,1,96,92,7,1,96,92,7,1,97,1022,334,33,01/01/2019,12/31/2019
Nebraska,98,2,0,99,92,7,1,95,87,11,2,95,88,11,1,95,1204,461,38,01/01/2019,12/31/2019
Nevada,97,3,0,99,92,6,2,95,89,9,2,95,87,11,2,94,4231,1118,26,01/01/2019,12/31/2019
New Hampshire,98,2,0,99,94,5,1,97,87,12,1,95,88,11,1,96,4880,1352,28,01/01/2019,12/31/2019
New Jersey,98,2,0,99,92,6,2,95,88,10,2,95,87,12,1,95,18893,6170,33,01/01/2019,12/31/2019
New Mexico,95,4,1,98,88,9,3,93,81,15,4,92,77,18,5,90,3076,881,29,01/01/2019,12/31/2019
New York,,,,,,,,,,,,,,,,,,,,,
North Carolina,97,3,0,98,93,6,1,96,90,9,1,96,88,11,1,95,25069,6668,27,01/01/2019,12/31/2019
North Dakota,96,3,1,98,86,10,4,91,84,11,5,92,87,10,3,95,916,292,32,01/01/2019,12/31/2019
Ohio,98,2,0,99,92,6,2,95,90,8,2,95,87,11,2,95,7681,2744,36,01/01/2019,12/31/2019
Oklahoma,97,3,0,98,91,7,2,94,88,9,3,95,87,11,2,95,3877,1402,36,01/01/2019,12/31/2019
Oregon,97,3,0,99,92,7,1,95,87,11,2,95,87,11,2,95,13084,4379,33,01/01/2019,12/31/2019
Pennsylvania,98,2,0,99,93,6,1,96,91,7,2,96,89,10,1,96,18968,7346,39,01/01/2019,12/31/2019
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,
South Carolina,98,2,0,99,93,6,1,96,91,8,1,96,89,10,1,96,5493,2230,41,01/01/2019,12/31/2019
South Dakota,99,1,0,99,91,8,1,95,89,9,2,96,85,13,2,94,1697,509,30,01/01/2019,12/31/2019
Tennessee,98,2,0,99,92,7,1,96,90,9,1,95,89,10,1,96,30003,8445,28,01/01/2019,12/31/2019
Texas,97,3,0,98,92,6,2,95,89,9,2,95,87,11,2,95,74761,19754,26,01/01/2019,12/31/2019
Utah,99,1,0,99,91,7,2,95,91,7,2,96,87,11,2,95,3491,988,28,01/01/2019,12/31/2019
Vermont,,,,,,,,,,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,98,2,0,99,93,6,1,96,91,8,1,95,90,9,1,96,7587,2259,30,01/01/2019,12/31/2019
Washington,98,2,0,99,92,7,1,96,88,11,1,95,88,11,1,95,25267,7246,29,01/01/2019,12/31/2019
West Virginia,,,,,,,,,,,,,,,,,,,,,
Wisconsin,98,2,0,99,92,7,1,96,86,11,3,94,86,12,2,94,1630,696,43,01/01/2019,12/31/2019
Wyoming,98,2,0,99,92,6,2,96,87,11,2,95,87,12,1,95,2717,1026,38,01/01/2019,12/31/2019
