"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","STTag","Score","Sample","Footnote","Start Date","End Date"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,112,483,,01/01/2019,12/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,77,3010,,10/01/2019,03/31/2020
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,160,146,,01/01/2019,12/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,366,22,,01/01/2019,12/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,1,01/01/2019,12/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,1,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,150,284,,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,33,2067,,10/01/2019,03/31/2020
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,83,1150,,10/01/2019,03/31/2020
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,250,637,,01/01/2019,12/31/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,69,3896,,10/01/2019,03/31/2020
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,5,01/01/2019,12/31/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,240,699,,01/01/2019,12/31/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,90,3311,,10/01/2019,03/31/2020
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,161,138,,01/01/2019,12/31/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,260,19,,01/01/2019,12/31/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,1,01/01/2019,12/31/2019
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,1,01/01/2019,12/31/2019
