"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,1,4,0,13
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,0,7,2,13
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2016,06/30/2019,2,9,4,7
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,8,0,7,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,0,8,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,0,8,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,4,0,3,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,4,1,13,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,14,0,8,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,9,0,13,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,1,,07/01/2016,06/30/2019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
