"State","Avg ASC-9 State Rate","Avg ASC-11 State Rate","Avg ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-9 State Rate","Median ASC-11 State Rate","Median ASC-13 State Rate","Median ASC-14 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small"
AK,90.78,N/A (5),99.41,0.62,86.96,N/A (5),100.00,0.41,0,7,0,0
AL,73.97,N/A (5),94.87,0.19,88.57,N/A (5),100.00,0.12,0,21,1,1
AR,92.82,N/A (5),79.07,0.40,93.83,N/A (5),94.79,0.26,0,17,2,1
AZ,77.68,100.00,99.58,0.40,93.69,100.00,100.00,0.39,0,55,1,4
CA,62.62,85.34,94.80,0.53,90.59,98.71,100.00,0.37,5,267,0,39
CO,91.11,N/A (5),98.97,0.37,93.75,N/A (5),100.00,0.39,0,42,0,4
CT,90.49,N/A (5),94.69,0.55,93.51,N/A (5),97.74,0.53,0,23,0,1
DC,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),0,3,0,0
DE,95.30,94.64,86.65,0.15,93.47,94.64,95.31,0.14,0,14,0,0
FL,62.24,99.82,98.76,0.56,85.71,99.95,100.00,0.34,2,183,2,14
GA,53.25,98.80,88.59,0.03,80.05,98.96,100.00,0.21,0,73,0,2
GU,0.00,N/A (5),100.00,0.43,0.00,N/A (5),100.00,0.43,0,2,0,0
HI,54.84,N/A (5),100.00,2.13,54.84,N/A (5),100.00,2.13,0,13,0,0
IA,83.58,N/A (5),99.67,0.15,90.97,N/A (5),100.00,0.12,0,13,0,1
ID,80.38,100.00,89.54,0.13,94.18,100.00,99.08,0.08,0,16,0,2
IL,91.03,100.00,97.82,3.17,94.54,100.00,100.00,0.27,0,53,1,11
IN,90.66,99.90,95.72,0.15,96.64,100.00,99.83,0.10,1,43,1,6
KS,79.92,100.00,99.35,0.37,91.89,100.00,100.00,0.37,0,24,0,5
KY,93.33,N/A (5),91.45,0.19,100.00,N/A (5),100.00,0.13,0,15,0,1
LA,86.35,93.90,99.30,0.44,94.12,93.90,100.00,0.41,0,30,0,2
MA,99.12,N/A (5),96.95,0.40,100.00,N/A (5),98.69,0.35,0,20,0,0
MD,92.27,N/A (5),88.54,0.51,97.38,N/A (5),100.00,0.44,1,64,0,10
ME,77.16,0.00,N/A (5),0.08,77.16,0.00,N/A (5),0.29,0,3,0,0
MI,91.16,60.21,99.21,1.07,96.77,60.21,100.00,0.29,0,42,1,5
MN,95.97,93.92,94.05,0.26,97.82,93.72,99.07,0.14,0,21,0,6
MO,85.03,N/A (5),99.46,0.38,92.76,N/A (5),100.00,0.28,0,42,0,3
MS,98.81,100.00,97.60,0.47,96.16,100.00,100.00,0.31,0,22,2,1
MT,99.67,N/A (5),98.77,0.15,100.00,N/A (5),99.00,0.26,0,5,0,0
NC,91.70,N/A (5),84.03,0.33,93.76,N/A (5),98.65,0.18,1,81,0,2
ND,100.00,N/A (5),98.09,0.22,100.00,N/A (5),98.42,0.28,0,5,0,1
NE,99.58,100.00,99.62,0.32,100.00,100.00,100.00,0.25,0,19,0,1
NH,96.94,N/A (5),98.83,0.63,95.24,N/A (5),99.55,0.64,0,11,0,0
NJ,78.39,100.00,98.67,0.40,80.74,100.00,100.00,0.33,0,100,0,10
NM,93.46,N/A (5),88.90,0.50,98.77,N/A (5),100.00,0.70,0,9,0,0
NV,74.05,N/A (5),98.88,0.54,76.19,N/A (5),100.00,0.53,0,19,0,1
NY,77.39,N/A (5),98.94,0.39,86.67,N/A (5),99.71,0.56,3,61,0,8
OH,89.03,96.27,98.84,0.35,94.97,95.08,100.00,0.20,0,74,0,8
OK,10.13,93.07,96.03,0.30,82.31,93.07,99.50,0.19,0,23,0,0
OR,96.61,100.00,98.53,0.41,96.44,100.00,99.39,0.27,0,32,0,3
PA,92.06,100.00,93.24,0.27,94.98,100.00,99.30,0.17,0,109,0,4
PR,N/A (5),98.13,100.00,0.48,N/A (5),98.13,N/A (5),0.39,0,2,0,3
RI,91.19,N/A (5),99.43,0.21,90.33,N/A (5),99.30,0.35,0,7,0,0
SC,90.71,N/A (5),99.22,0.22,92.55,N/A (5),99.50,0.16,0,32,1,2
SD,97.26,N/A (5),93.55,0.19,96.25,N/A (5),95.03,0.17,0,5,0,1
TN,90.58,100.00,99.94,0.30,81.88,100.00,100.00,0.28,1,44,0,5
TX,85.93,93.82,92.11,0.34,90.98,100.00,100.00,0.26,0,163,2,11
UT,93.35,94.60,98.77,0.37,96.88,94.60,99.87,0.28,0,13,0,1
VA,93.10,N/A (5),97.02,0.31,96.20,N/A (5),99.72,0.39,0,16,0,0
VI,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),0,0,0,0
VT,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),0,0,0,0
WA,92.68,99.38,85.10,0.29,96.51,99.54,99.08,0.27,0,51,0,4
WI,70.59,N/A (5),97.96,0.28,87.50,N/A (5),98.05,0.24,0,20,1,1
WV,94.62,N/A (5),96.69,0.25,92.73,N/A (5),96.69,0.50,0,4,0,1
WY,51.08,100.00,89.30,0.24,100.00,100.00,100.00,0.17,0,11,0,2
