"State","Measure ID","Measure Name","Number Less Than National Payment","Number Same as National Payment","Number Greater Than National Payment","Number of Hospitals Too Few","Footnote","Start Date","End Date"
AK,PAYM_30_AMI,Payment for heart attack patients,2,3,0,16,,07/01/2016,06/30/2019
AK,PAYM_30_HF,Payment for heart failure patients,5,4,0,12,,07/01/2016,06/30/2019
AK,PAYM_30_PN,Payment for pneumonia patients,10,3,0,9,,07/01/2016,06/30/2019
AK,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,8,1,0,1,,04/01/2016,03/31/2019
AL,PAYM_30_AMI,Payment for heart attack patients,1,32,3,44,,07/01/2016,06/30/2019
AL,PAYM_30_HF,Payment for heart failure patients,12,54,4,17,,07/01/2016,06/30/2019
AL,PAYM_30_PN,Payment for pneumonia patients,30,41,10,6,,07/01/2016,06/30/2019
AL,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,6,19,16,9,,04/01/2016,03/31/2019
AR,PAYM_30_AMI,Payment for heart attack patients,0,18,7,41,,07/01/2016,06/30/2019
AR,PAYM_30_HF,Payment for heart failure patients,3,46,10,13,,07/01/2016,06/30/2019
AR,PAYM_30_PN,Payment for pneumonia patients,12,43,16,2,,07/01/2016,06/30/2019
AR,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,13,16,6,6,,04/01/2016,03/31/2019
AS,PAYM_30_AMI,Payment for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,PAYM_30_HF,Payment for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,PAYM_30_PN,Payment for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
AS,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2016,03/31/2019
AZ,PAYM_30_AMI,Payment for heart attack patients,4,38,1,19,,07/01/2016,06/30/2019
AZ,PAYM_30_HF,Payment for heart failure patients,3,33,15,23,,07/01/2016,06/30/2019
AZ,PAYM_30_PN,Payment for pneumonia patients,14,34,13,14,,07/01/2016,06/30/2019
AZ,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,32,16,2,5,,04/01/2016,03/31/2019
CA,PAYM_30_AMI,Payment for heart attack patients,3,175,15,119,,07/01/2016,06/30/2019
CA,PAYM_30_HF,Payment for heart failure patients,24,171,70,56,,07/01/2016,06/30/2019
CA,PAYM_30_PN,Payment for pneumonia patients,47,136,100,42,,07/01/2016,06/30/2019
CA,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,89,64,47,79,,04/01/2016,03/31/2019
CO,PAYM_30_AMI,Payment for heart attack patients,3,31,0,31,,07/01/2016,06/30/2019
CO,PAYM_30_HF,Payment for heart failure patients,3,45,3,28,,07/01/2016,06/30/2019
CO,PAYM_30_PN,Payment for pneumonia patients,9,53,2,16,,07/01/2016,06/30/2019
CO,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,26,24,4,14,,04/01/2016,03/31/2019
CT,PAYM_30_AMI,Payment for heart attack patients,0,23,0,5,,07/01/2016,06/30/2019
CT,PAYM_30_HF,Payment for heart failure patients,0,17,11,1,,07/01/2016,06/30/2019
CT,PAYM_30_PN,Payment for pneumonia patients,2,17,9,1,,07/01/2016,06/30/2019
CT,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,7,12,5,2,,04/01/2016,03/31/2019
DC,PAYM_30_AMI,Payment for heart attack patients,0,6,0,1,,07/01/2016,06/30/2019
DC,PAYM_30_HF,Payment for heart failure patients,1,5,1,0,,07/01/2016,06/30/2019
DC,PAYM_30_PN,Payment for pneumonia patients,1,3,3,0,,07/01/2016,06/30/2019
DC,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,1,2,2,1,,04/01/2016,03/31/2019
DE,PAYM_30_AMI,Payment for heart attack patients,1,3,2,0,,07/01/2016,06/30/2019
DE,PAYM_30_HF,Payment for heart failure patients,0,6,0,0,,07/01/2016,06/30/2019
DE,PAYM_30_PN,Payment for pneumonia patients,1,5,0,0,,07/01/2016,06/30/2019
DE,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,4,2,0,0,,04/01/2016,03/31/2019
FL,PAYM_30_AMI,Payment for heart attack patients,10,129,9,27,,07/01/2016,06/30/2019
FL,PAYM_30_HF,Payment for heart failure patients,6,101,66,8,,07/01/2016,06/30/2019
FL,PAYM_30_PN,Payment for pneumonia patients,21,93,62,6,,07/01/2016,06/30/2019
FL,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,37,51,56,21,,04/01/2016,03/31/2019
GA,PAYM_30_AMI,Payment for heart attack patients,4,56,1,50,,07/01/2016,06/30/2019
GA,PAYM_30_HF,Payment for heart failure patients,21,70,1,36,,07/01/2016,06/30/2019
GA,PAYM_30_PN,Payment for pneumonia patients,28,77,9,15,,07/01/2016,06/30/2019
GA,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,26,27,19,15,,04/01/2016,03/31/2019
GU,PAYM_30_AMI,Payment for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,PAYM_30_HF,Payment for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,PAYM_30_PN,Payment for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
GU,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2016,03/31/2019
HI,PAYM_30_AMI,Payment for heart attack patients,4,5,0,4,,07/01/2016,06/30/2019
HI,PAYM_30_HF,Payment for heart failure patients,4,8,0,2,,07/01/2016,06/30/2019
HI,PAYM_30_PN,Payment for pneumonia patients,4,8,0,4,,07/01/2016,06/30/2019
HI,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,6,3,1,2,,04/01/2016,03/31/2019
IA,PAYM_30_AMI,Payment for heart attack patients,4,18,2,81,,07/01/2016,06/30/2019
IA,PAYM_30_HF,Payment for heart failure patients,6,65,3,42,,07/01/2016,06/30/2019
IA,PAYM_30_PN,Payment for pneumonia patients,21,72,17,6,,07/01/2016,06/30/2019
IA,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,32,21,3,21,,04/01/2016,03/31/2019
ID,PAYM_30_AMI,Payment for heart attack patients,1,8,1,20,,07/01/2016,06/30/2019
ID,PAYM_30_HF,Payment for heart failure patients,3,18,1,16,,07/01/2016,06/30/2019
ID,PAYM_30_PN,Payment for pneumonia patients,13,17,0,11,,07/01/2016,06/30/2019
ID,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,12,9,5,5,,04/01/2016,03/31/2019
IL,PAYM_30_AMI,Payment for heart attack patients,7,82,11,68,,07/01/2016,06/30/2019
IL,PAYM_30_HF,Payment for heart failure patients,13,118,27,18,,07/01/2016,06/30/2019
IL,PAYM_30_PN,Payment for pneumonia patients,32,101,37,6,,07/01/2016,06/30/2019
IL,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,38,38,35,31,,04/01/2016,03/31/2019
IN,PAYM_30_AMI,Payment for heart attack patients,6,44,8,51,,07/01/2016,06/30/2019
IN,PAYM_30_HF,Payment for heart failure patients,4,86,13,10,,07/01/2016,06/30/2019
IN,PAYM_30_PN,Payment for pneumonia patients,11,74,21,8,,07/01/2016,06/30/2019
IN,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,35,32,12,18,,04/01/2016,03/31/2019
KS,PAYM_30_AMI,Payment for heart attack patients,0,23,2,79,,07/01/2016,06/30/2019
KS,PAYM_30_HF,Payment for heart failure patients,1,56,11,58,,07/01/2016,06/30/2019
KS,PAYM_30_PN,Payment for pneumonia patients,11,70,28,18,,07/01/2016,06/30/2019
KS,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,18,20,6,10,,04/01/2016,03/31/2019
KY,PAYM_30_AMI,Payment for heart attack patients,2,39,2,43,,07/01/2016,06/30/2019
KY,PAYM_30_HF,Payment for heart failure patients,6,66,6,13,,07/01/2016,06/30/2019
KY,PAYM_30_PN,Payment for pneumonia patients,28,44,16,3,,07/01/2016,06/30/2019
KY,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,9,22,12,15,,04/01/2016,03/31/2019
LA,PAYM_30_AMI,Payment for heart attack patients,4,32,4,45,,07/01/2016,06/30/2019
LA,PAYM_30_HF,Payment for heart failure patients,9,62,8,20,,07/01/2016,06/30/2019
LA,PAYM_30_PN,Payment for pneumonia patients,16,51,24,9,,07/01/2016,06/30/2019
LA,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,8,31,15,14,,04/01/2016,03/31/2019
MA,PAYM_30_AMI,Payment for heart attack patients,4,37,9,8,,07/01/2016,06/30/2019
MA,PAYM_30_HF,Payment for heart failure patients,4,43,8,4,,07/01/2016,06/30/2019
MA,PAYM_30_PN,Payment for pneumonia patients,12,36,8,4,,07/01/2016,06/30/2019
MA,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,6,21,27,1,,04/01/2016,03/31/2019
MD,PAYM_30_AMI,Payment for heart attack patients,2,38,0,5,,07/01/2016,06/30/2019
MD,PAYM_30_HF,Payment for heart failure patients,6,36,3,1,,07/01/2016,06/30/2019
MD,PAYM_30_PN,Payment for pneumonia patients,12,29,4,0,,07/01/2016,06/30/2019
MD,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,14,11,15,5,,04/01/2016,03/31/2019
ME,PAYM_30_AMI,Payment for heart attack patients,2,19,0,12,,07/01/2016,06/30/2019
ME,PAYM_30_HF,Payment for heart failure patients,6,24,2,1,,07/01/2016,06/30/2019
ME,PAYM_30_PN,Payment for pneumonia patients,12,18,2,1,,07/01/2016,06/30/2019
ME,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,7,10,6,6,,04/01/2016,03/31/2019
MI,PAYM_30_AMI,Payment for heart attack patients,13,51,1,49,,07/01/2016,06/30/2019
MI,PAYM_30_HF,Payment for heart failure patients,15,73,12,23,,07/01/2016,06/30/2019
MI,PAYM_30_PN,Payment for pneumonia patients,33,66,14,9,,07/01/2016,06/30/2019
MI,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,51,40,6,16,,04/01/2016,03/31/2019
MN,PAYM_30_AMI,Payment for heart attack patients,1,16,3,87,,07/01/2016,06/30/2019
MN,PAYM_30_HF,Payment for heart failure patients,5,48,3,70,,07/01/2016,06/30/2019
MN,PAYM_30_PN,Payment for pneumonia patients,18,62,0,46,,07/01/2016,06/30/2019
MN,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,28,24,2,32,,04/01/2016,03/31/2019
MO,PAYM_30_AMI,Payment for heart attack patients,1,46,2,49,,07/01/2016,06/30/2019
MO,PAYM_30_HF,Payment for heart failure patients,8,69,8,22,,07/01/2016,06/30/2019
MO,PAYM_30_PN,Payment for pneumonia patients,23,70,12,2,,07/01/2016,06/30/2019
MO,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,30,25,6,18,,04/01/2016,03/31/2019
MP,PAYM_30_AMI,Payment for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
MP,PAYM_30_HF,Payment for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
MP,PAYM_30_PN,Payment for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2016,06/30/2019
MP,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2016,03/31/2019
