"Measure ID","Measure Name","National Rate","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date"
COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,2.4,50,2653,60,655,,04/01/2016,03/31/2019
MORT_30_AMI,Death rate for heart attack patients,12.7,16,2284,28,1918,,07/01/2016,06/30/2019
MORT_30_CABG,Death rate for CABG surgery patients,3,15,974,13,161,,07/01/2016,06/30/2019
MORT_30_COPD,Death rate for COPD patients,8.4,86,3554,63,939,,07/01/2016,06/30/2019
MORT_30_HF,Death rate for heart failure patients,11.3,156,3230,259,992,,07/01/2016,06/30/2019
MORT_30_PN,Death rate for pneumonia patients,15.4,280,3666,266,483,,07/01/2016,06/30/2019
MORT_30_STK,Death rate for stroke patients,13.6,93,2333,56,1772,,07/01/2016,06/30/2019
PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1.36,30,2751,5,210,,07/01/2017,06/30/2019
PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,6.15,105,2604,47,231,,07/01/2017,06/30/2019
PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,3.76,127,2834,36,114,,07/01/2017,06/30/2019
PSI_13_POST_SEPSIS,Blood stream infection after surgery,4.79,55,2683,22,219,,07/01/2017,06/30/2019
PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0.91,0,2728,0,311,,07/01/2017,06/30/2019
PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,1.26,38,2917,2,164,,07/01/2017,06/30/2019
PSI_3_ULCER,Pressure sores,0.60,225,2914,80,58,,07/01/2017,06/30/2019
PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,164.15,54,1621,50,983,,07/01/2017,06/30/2019
PSI_6_IAT_PTX,Collapsed lung due to medical treatment,0.25,18,3233,1,33,,07/01/2017,06/30/2019
PSI_8_POST_HIP,Broken hip from a fall after surgery,0.11,0,3248,0,34,,07/01/2017,06/30/2019
PSI_90_SAFETY,Serious complications,1.00,190,3011,84,Not Available,,07/01/2017,06/30/2019
PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,2.49,36,2947,7,120,,07/01/2017,06/30/2019
