"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,96,3,1,98,92,6,2,95,83,14,3,93,82,16,2,93,51830,13790,27,01/01/2019,12/31/2019
Alaska,96,3,1,98,92,6,2,96,86,12,2,95,85,14,1,94,3220,717,22,01/01/2019,12/31/2019
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,99,92,6,2,95,88,10,2,95,84,14,2,94,10610,3223,32,01/01/2019,12/31/2019
Arkansas,96,4,0,98,89,9,2,93,81,16,3,93,78,19,3,92,15197,3781,25,01/01/2019,12/31/2019
California,96,3,1,98,89,9,2,93,84,13,3,93,82,15,3,93,268381,71684,28,01/01/2019,12/31/2019
Colorado,97,3,0,98,92,7,1,95,86,12,2,94,84,14,2,94,56391,14993,27,01/01/2019,12/31/2019
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,94,85,13,2,94,82,16,2,93,11294,2923,26,01/01/2019,12/31/2019
Delaware,97,3,0,98,93,6,1,96,86,12,2,94,82,16,2,93,8793,2328,27,01/01/2019,12/31/2019
District of Columbia,92,7,1,95,88,10,2,93,73,21,6,89,75,19,6,89,1239,266,21,01/01/2019,12/31/2019
Florida,97,3,0,98,91,7,2,94,87,11,2,94,85,13,2,94,68585,17738,26,01/01/2019,12/31/2019
Georgia,96,4,0,98,91,7,2,95,85,12,3,94,82,15,3,93,53256,12556,24,01/01/2019,12/31/2019
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,91,7,2,95,86,12,2,94,85,13,2,94,6483,2053,32,01/01/2019,12/31/2019
Idaho,97,3,0,98,92,7,1,95,85,13,2,94,82,16,2,93,18084,5306,31,01/01/2019,12/31/2019
Illinois,97,3,0,98,91,7,2,95,85,12,3,94,80,18,2,92,98655,27829,29,01/01/2019,12/31/2019
Indiana,98,2,0,99,91,7,2,95,87,11,2,95,82,16,2,93,34395,9078,29,01/01/2019,12/31/2019
