"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,,,,,,,,,,,,,,,,,4,,,,,
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,,,,,,,,,,,,,,,,,4,,,,,
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,99,1,0,100,94,4,2,96,86,14,0,94,79,21,0,93,3,215,56,28,01/01/2019,12/31/2019
010018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,JEFFERSON,(205) 325-8100,96,4,0,98,92,7,1,95,89,9,2,95,90,8,2,96,,3609,1336,37,01/01/2019,12/31/2019
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,97,3,0,98,90,8,2,94,85,13,2,94,86,13,1,95,,3718,1007,27,01/01/2019,12/31/2019
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,97,3,0,98,93,5,2,96,86,12,2,95,92,7,1,97,,1085,291,27,01/01/2019,12/31/2019
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,94,5,1,97,90,8,2,94,81,16,3,93,78,19,3,91,,2492,624,25,01/01/2019,12/31/2019
010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,(334) 749-3411,97,3,0,98,91,7,2,95,86,11,3,94,85,12,3,93,,1514,423,28,01/01/2019,12/31/2019
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 934-4011,95,4,1,97,93,6,1,96,89,8,3,95,86,12,2,94,2,2266,575,25,01/01/2019,12/31/2019
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,(256) 737-2000,96,3,1,98,92,7,1,95,82,15,3,93,76,23,1,91,,1556,435,28,01/01/2019,12/31/2019
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,(256) 265-1000,,,,,,,,,,,,,,,,,4,,,,,
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,(205) 921-6200,98,2,0,99,95,3,2,97,89,7,4,94,83,13,4,92,,331,109,33,01/01/2019,12/31/2019
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,(205) 932-5966,98,2,0,99,94,5,1,96,92,7,1,95,85,14,1,95,,1018,333,33,01/01/2019,12/31/2019
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,(256) 974-2200,95,2,3,96,96,2,2,97,75,20,5,93,69,31,0,90,3,94,26,28,01/01/2019,12/31/2019
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,(256) 259-4444,95,4,1,97,89,8,3,93,71,24,5,89,73,22,5,89,,1513,330,22,01/01/2019,12/31/2019
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,(334) 684-3655,98,2,0,99,95,4,1,97,78,17,5,92,86,13,1,95,,715,175,25,01/01/2019,12/31/2019
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,(256) 329-7100,97,3,0,98,93,6,1,96,82,15,3,93,80,17,3,92,,2065,553,28,01/01/2019,12/31/2019
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,AL,36251,CLAY,(256) 354-2131,98,2,0,99,94,5,1,97,80,16,4,92,82,16,2,93,,529,158,31,01/01/2019,12/31/2019
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,(256) 235-5121,96,4,0,98,92,6,2,95,78,19,3,91,81,17,2,93,,1190,249,22,01/01/2019,12/31/2019
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,(256) 233-9292,98,2,0,99,93,5,2,96,89,9,2,95,85,13,2,94,,1437,427,30,01/01/2019,12/31/2019
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,(256) 341-2000,97,3,0,98,91,7,2,95,80,17,3,92,75,24,1,91,,1600,470,29,01/01/2019,12/31/2019
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,(205) 487-7736,97,3,0,99,94,5,1,96,86,11,3,94,82,17,1,94,,885,195,22,01/01/2019,12/31/2019
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,(205) 759-7111,97,3,0,99,93,6,1,96,85,13,2,94,82,16,2,93,,7507,1920,26,01/01/2019,12/31/2019
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,(251) 928-2375,97,2,1,98,91,6,3,94,85,12,3,94,88,10,2,95,,2112,456,22,01/01/2019,12/31/2019
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,(334) 361-4267,97,3,0,98,92,6,2,95,84,14,2,94,83,15,2,94,,1859,535,29,01/01/2019,12/31/2019
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,PICKENS,(205) 367-8111,,,,,,,,,,,,,,,,,4,,,,,
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,MOBILE,(251) 435-4700,95,4,1,97,89,8,3,93,81,15,4,93,84,13,3,94,,2153,487,23,01/01/2019,12/31/2019
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,MONROE,(251) 575-3111,98,2,0,99,93,5,2,96,85,13,2,94,86,13,1,95,,836,241,29,01/01/2019,12/31/2019
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,(334) 670-5000,97,3,0,98,93,6,1,96,80,17,3,93,83,16,1,94,,1678,398,24,01/01/2019,12/31/2019
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,(251) 937-5521,97,2,1,98,91,6,3,94,86,12,2,94,85,14,1,95,,1693,322,19,01/01/2019,12/31/2019
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,(251) 344-9630,94,5,1,96,88,9,3,92,74,20,6,90,83,11,6,92,,1081,241,23,01/01/2019,12/31/2019
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,(251) 578-2480,91,7,2,95,88,10,2,93,73,17,10,89,70,26,4,89,3,353,80,23,01/01/2019,12/31/2019
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,(334) 244-8330,95,4,1,97,90,8,2,94,87,11,2,94,86,12,2,95,,2761,779,28,01/01/2019,12/31/2019
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,(256) 249-5000,,,,,,,,,,,,,,,,,4,,,,,
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,(334) 732-3000,98,2,0,99,93,5,2,96,91,8,1,96,91,7,2,96,,1134,411,36,01/01/2019,12/31/2019
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,(251) 368-2500,94,4,2,96,92,6,2,95,73,20,7,89,74,18,8,88,,831,148,18,01/01/2019,12/31/2019
020001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,(907) 562-2211,96,4,0,98,90,8,2,94,85,12,3,94,85,14,1,94,,2794,603,22,01/01/2019,12/31/2019
