Data.Medicare.gov location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-Facility/4jcv-atw7,Ambulatory Surgical Measures-Facility,28-Oct-20,"Data Refreshed; Retired ASC-1, ASC-2,ASC-3,ASC-4 and ASC-10"
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-National/wue8-3vwe ,Ambulatory Surgical Measures-National,28-Oct-20,"Data Refreshed; Retired ASC-1, ASC-2,ASC-3,ASC-4 and ASC-10"
https://data.medicare.gov/Hospital-Compare/Ambulatory-Surgical-Measures-State/axe7-s95e,Ambulatory Surgical Measures-State,28-Oct-20,"Data Refreshed; Retired ASC-1, ASC-2,ASC-3,ASC-4 and ASC-10"
 https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-Hospital/ynj2-r877,Complications and Deaths- Hospital,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-National/qqw3-t4ie,Complications and Deaths - National,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Complications-and-Deaths-State/bs2r-24vh,Complications and Deaths- State,28-Oct-20,No updates; Open/Closed List applied 
https://data.medicare.gov/Hospital-Compare/Comprehensive-Care-For-Joint-Replacement-Model-Pro/tqkv-mgxq,Comprehensive Care For Joint Replacement Model - Provider Data,28-Oct-20,No updates
https://data.medicare.gov/Hospital-Compare/Data-Updates/bzsr-4my4,Data Updates,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Footnote-Crosswalk/y9us-9xdf,Footnote Crosswalk,28-Oct-20,No updates 
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-Hospital/77hc-ibv8,Healthcare Associated Infections - Hospital,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-National/yd3s-jyhd,Healthcare Associated Infections - National,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Healthcare-Associated-Infections-State/k2ze-bqvw,Healthcare Associated Infections - State,28-Oct-20,Data Refreshed
https://data.medicare.gov/Hospital-Compare/Hospital-Acquired-Condition-Reduction-Program/yq43-i98g,Hospital-Acquired Condition Reduction Program,28-Oct-20,No updates
