"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,97,3,0,98,94,5,1,96,90,10,0,96,90,10,0,97,,1255,359,29,01/01/2022,12/31/2022
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,,,,,,,,,,,,,,,,,4;5,,,,,
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,97,3,0,98,91,6,3,94,90,7,3,94,88,11,1,95,,1372,359,26,01/01/2022,12/31/2022
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,98,2,0,99,92,6,2,95,94,4,2,97,92,7,1,97,,1490,391,26,01/01/2022,12/31/2022
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,99,1,0,99,93,6,1,96,93,6,1,97,91,7,2,96,,1066,303,28,01/01/2022,12/31/2022
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97,3,0,98,90,8,2,94,89,11,0,95,90,10,0,97,,1001,251,25,01/01/2022,12/31/2022
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,99,1,0,99,92,6,2,95,93,5,2,96,90,10,0,96,,542,160,30,01/01/2022,12/31/2022
03C0001259,ARIZONA GASTROENTEROLOGY LTD,"7566 N. LA CHOLLA BLVD., STE. B",TUCSON,AZ,85741,,(520) 547-5847,95,5,0,97,91,7,2,95,84,13,3,94,83,15,2,93,,1282,454,35,01/01/2022,12/31/2022
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,94,5,1,96,86,11,3,91,82,14,4,92,78,19,3,91,,1868,324,17,01/01/2022,12/31/2022
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,97,3,0,99,90,9,1,94,88,10,2,95,86,12,2,94,,1207,300,25,01/01/2022,12/31/2022
