"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.325,,07/01/2021,06/30/2022
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.823,,07/01/2021,06/30/2022
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.531,,07/01/2021,06/30/2022
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.545,,07/01/2021,06/30/2022
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.198,,07/01/2021,06/30/2022
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.824,,07/01/2021,06/30/2022
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.672,,07/01/2021,06/30/2022
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.705,,07/01/2021,06/30/2022
AK,HAI_3_SIR,SSI - Colon Surgery,1.100,,07/01/2021,06/30/2022
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.751,,07/01/2021,06/30/2022
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,4.542,,07/01/2021,06/30/2022
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,2.049,,07/01/2021,06/30/2022
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.836,,07/01/2021,06/30/2022
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.760,,07/01/2021,06/30/2022
AK,HAI_5_SIR,MRSA Bacteremia,1.234,,07/01/2021,06/30/2022
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.170,,07/01/2021,06/30/2022
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.359,,07/01/2021,06/30/2022
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.251,,07/01/2021,06/30/2022
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,1.162,,07/01/2021,06/30/2022
