"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,96,4,0,98,92,7,1,95,84,13,3,94,83,15,2,93,50974,12899,26,04/01/2023,03/31/2024
Alaska,95,4,1,97,92,6,2,95,83,13,4,93,79,19,2,92,5111,756,15,04/01/2023,03/31/2024
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,96,3,1,98,90,8,2,94,84,12,4,93,80,16,4,92,22297,6099,28,04/01/2023,03/31/2024
Arkansas,97,2,1,98,91,7,2,95,82,15,3,94,78,18,4,91,12274,2515,21,04/01/2023,03/31/2024
California,96,3,1,98,90,8,2,94,84,13,3,93,82,14,4,92,359859,92321,26,04/01/2023,03/31/2024
Colorado,97,3,0,98,92,7,1,95,86,12,2,94,83,15,2,93,86082,19764,23,04/01/2023,03/31/2024
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,95,86,12,2,94,83,15,2,93,36603,8946,24,04/01/2023,03/31/2024
Delaware,98,2,0,99,92,6,2,96,87,10,3,95,82,16,2,93,7563,1922,26,04/01/2023,03/31/2024
District of Columbia,94,5,1,97,90,8,2,94,78,18,4,91,77,19,4,90,14171,2334,17,04/01/2023,03/31/2024
Florida,96,3,1,98,91,7,2,94,86,11,3,94,84,13,3,93,102002,25260,25,04/01/2023,03/31/2024
Georgia,97,3,0,98,92,6,2,95,87,11,2,94,83,15,2,93,58622,11998,21,04/01/2023,03/31/2024
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,92,7,1,95,83,14,3,93,81,17,2,92,18684,5584,30,04/01/2023,03/31/2024
Idaho,97,2,1,98,93,6,1,96,85,13,2,94,81,18,1,93,21411,5446,26,04/01/2023,03/31/2024
