"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,99,93,5,2,96,90,8,2,95,88,11,1,95,4796,1205,25,04/01/2023,03/31/2024
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,98,91,7,2,95,90,8,2,95,86,12,2,95,29637,7829,27,04/01/2023,03/31/2024
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97,3,0,98,91,7,2,94,88,10,2,95,87,11,2,95,58248,14642,25,04/01/2023,03/31/2024
Colorado,97,3,0,98,91,7,2,94,86,11,3,94,82,16,2,93,21756,5791,27,04/01/2023,03/31/2024
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98,2,0,99,93,6,1,96,92,6,2,96,91,8,1,96,4558,1273,28,04/01/2023,03/31/2024
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,96,3,1,98,92,7,1,95,86,12,2,94,85,14,1,95,2102,325,15,04/01/2023,03/31/2024
Florida,97,3,0,98,92,6,2,95,90,8,2,95,88,10,2,95,65123,19755,30,04/01/2023,03/31/2024
Georgia,98,2,0,99,93,6,1,96,91,7,2,96,90,8,2,96,18003,4276,24,04/01/2023,03/31/2024
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,98,2,0,99,92,7,1,96,92,7,1,97,89,10,1,96,4529,1566,35,04/01/2023,03/31/2024
Idaho,99,1,0,99,93,6,1,97,90,8,2,95,86,11,3,94,2722,743,27,04/01/2023,03/31/2024
Illinois,97,3,0,98,92,7,1,96,89,9,2,95,87,11,2,95,6036,1840,31,04/01/2023,03/31/2024
Indiana,98,2,0,99,91,7,2,95,89,10,1,96,87,11,2,95,7350,2313,31,04/01/2023,03/31/2024
