"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.471,,04/01/2023,03/31/2024
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.090,,04/01/2023,03/31/2024
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.732,,04/01/2023,03/31/2024
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.458,,04/01/2023,03/31/2024
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.107,,04/01/2023,03/31/2024
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.730,,04/01/2023,03/31/2024
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.821,,04/01/2023,03/31/2024
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.942,,04/01/2023,03/31/2024
AK,HAI_3_SIR,SSI - Colon Surgery,1.292,,04/01/2023,03/31/2024
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.133,,04/01/2023,03/31/2024
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.621,,04/01/2023,03/31/2024
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.793,,04/01/2023,03/31/2024
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.090,,04/01/2023,03/31/2024
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.547,,04/01/2023,03/31/2024
AK,HAI_5_SIR,MRSA Bacteremia,0.247,,04/01/2023,03/31/2024
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.264,,04/01/2023,03/31/2024
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.484,,04/01/2023,03/31/2024
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.361,,04/01/2023,03/31/2024
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.874,,04/01/2023,03/31/2024
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.096,,04/01/2023,03/31/2024
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.981,,04/01/2023,03/31/2024
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.502,,04/01/2023,03/31/2024
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.632,,04/01/2023,03/31/2024
