Measure ID,Start Date,End Date
HAI_1_DOPC,10/01/2023,09/30/2024
HAI_1_ELIGCASES,10/01/2023,09/30/2024
HAI_1_SIR,10/01/2023,09/30/2024
HAI_2_DOPC,10/01/2023,09/30/2024
HAI_2_ELIGCASES,10/01/2023,09/30/2024
HAI_2_SIR,10/01/2023,09/30/2024
HAI_3_DOPC,10/01/2023,09/30/2024
HAI_3_ELIGCASES,10/01/2023,09/30/2024
HAI_3_SIR,10/01/2023,09/30/2024
HAI_4_DOPC,10/01/2023,09/30/2024
HAI_4_ELIGCASES,10/01/2023,09/30/2024
HAI_4_SIR,10/01/2023,09/30/2024
HAI_5_DOPC,10/01/2023,09/30/2024
HAI_5_ELIGCASES,10/01/2023,09/30/2024
HAI_5_SIR,10/01/2023,09/30/2024
HAI_6_DOPC,10/01/2023,09/30/2024
HAI_6_ELIGCASES,10/01/2023,09/30/2024
HAI_6_SIR,10/01/2023,09/30/2024
EDAC_30_AMI,07/01/2021,06/30/2024
EDAC_30_HF,07/01/2021,06/30/2024
EDAC_30_PN,07/01/2021,06/30/2024
Hybrid_HWR,07/01/2023,06/30/2024
OP_32,01/01/2021,12/31/2023
OP_35_ADM,01/01/2023,12/31/2023
OP_35_ED,01/01/2023,12/31/2023
OP_36,01/01/2023,12/31/2023
READM_30_CABG,07/01/2021,06/30/2024
READM_30_COPD,07/01/2021,06/30/2024
READM_30_HIP_KNEE,07/01/2021,06/30/2024
COMP_HIP_KNEE,04/01/2021,03/31/2024
MORT_30_AMI,07/01/2021,06/30/2024
MORT_30_CABG,07/01/2021,06/30/2024
MORT_30_COPD,07/01/2021,06/30/2024
MORT_30_HF,07/01/2021,06/30/2024
MORT_30_PN,07/01/2021,06/30/2024
MORT_30_STK,07/01/2021,06/30/2024
PSI_04,07/01/2021,06/30/2023
PSI_90,07/01/2021,06/30/2023
HCP_COVID_19,07/01/2024,09/30/2024
IMM_3,10/01/2023,03/31/2024
OP_18b,10/01/2023,09/30/2024
OP_22,01/01/2023,12/31/2023
OP_23,10/01/2023,09/30/2024
OP_29,01/01/2023,12/31/2023
SAFE_USE_OF_OPIOIDS,01/01/2023,12/31/2023
SEP_1,10/01/2023,09/30/2024
ePC_02,01/01/2023,12/31/2023
H_COMP_1_STAR_RATING,10/01/2023,09/30/2024
H_COMP_2_STAR_RATING,10/01/2023,09/30/2024
H_COMP_3_STAR_RATING,10/01/2023,09/30/2024
H_COMP_5_STAR_RATING,10/01/2023,09/30/2024
H_COMP_6_STAR_RATING,10/01/2023,09/30/2024
H_COMP_7_STAR_RATING,10/01/2023,09/30/2024
H_CLEAN_STAR_RATING,10/01/2023,09/30/2024
H_QUIET_STAR_RATING,10/01/2023,09/30/2024
H_HSP_RATING_STAR_RATING,10/01/2023,09/30/2024
H_RECMND_STAR_RATING,10/01/2023,09/30/2024
OP-10,07/01/2023,06/30/2024
OP-13,07/01/2023,06/30/2024
OP-8,07/01/2023,06/30/2024
