Measure ID,Start Date,End Date
HAI_1_DOPC,07/01/2021,06/30/2022
HAI_1_ELIGCASES,07/01/2021,06/30/2022
HAI_1_SIR,07/01/2021,06/30/2022
HAI_2_DOPC,07/01/2021,06/30/2022
HAI_2_ELIGCASES,07/01/2021,06/30/2022
HAI_2_SIR,07/01/2021,06/30/2022
HAI_3_DOPC,07/01/2021,06/30/2022
HAI_3_ELIGCASES,07/01/2021,06/30/2022
HAI_3_SIR,07/01/2021,06/30/2022
HAI_4_DOPC,07/01/2021,06/30/2022
HAI_4_ELIGCASES,07/01/2021,06/30/2022
HAI_4_SIR,07/01/2021,06/30/2022
HAI_5_DOPC,07/01/2021,06/30/2022
HAI_5_ELIGCASES,07/01/2021,06/30/2022
HAI_5_SIR,07/01/2021,06/30/2022
HAI_6_DOPC,07/01/2021,06/30/2022
HAI_6_ELIGCASES,07/01/2021,06/30/2022
HAI_6_SIR,07/01/2021,06/30/2022
EDAC_30_AMI,07/01/2018,06/30/2021
EDAC_30_HF,07/01/2018,06/30/2021
EDAC_30_PN,07/01/2018,06/30/2021
OP_32,01/01/2019,12/31/2021
OP_35_ADM,01/01/2021,12/31/2021
OP_35_ED,01/01/2021,12/31/2021
OP_36,01/01/2021,12/31/2021
READM_30_CABG,07/01/2018,06/30/2021
READM_30_COPD,07/01/2018,06/30/2021
READM_30_HIP_KNEE,07/01/2018,06/30/2021
READM_30_HOSP_WIDE,07/01/2020,06/30/2021
COMP_HIP_KNEE,04/01/2018,03/31/2021
MORT_30_AMI,07/01/2018,06/30/2021
MORT_30_CABG,07/01/2018,06/30/2021
MORT_30_COPD,07/01/2018,06/30/2021
MORT_30_HF,07/01/2018,06/30/2021
MORT_30_PN,07/01/2018,06/30/2021
MORT_30_STK,07/01/2018,06/30/2021
PSI_04,07/01/2019,06/30/2021
PSI_90,07/01/2019,06/30/2021
HCP_COVID_19,04/01/2022,06/30/2022
IMM_3,10/01/2021,03/31/2022
OP_18b,07/01/2021,06/30/2022
OP_2,07/01/2021,06/30/2022
OP_22,01/01/2021,12/31/2021
OP_23,07/01/2021,06/30/2022
OP_29,01/01/2021,12/31/2021
OP_3b,07/01/2021,06/30/2022
SEP_1,07/01/2021,06/30/2022
PC_01,07/01/2021,06/30/2022
H_COMP_1_STAR_RATING,07/01/2021,06/30/2022
H_COMP_2_STAR_RATING,07/01/2021,06/30/2022
H_COMP_3_STAR_RATING,07/01/2021,06/30/2022
H_COMP_5_STAR_RATING,07/01/2021,06/30/2022
H_COMP_6_STAR_RATING,07/01/2021,06/30/2022
H_COMP_7_STAR_RATING,07/01/2021,06/30/2022
H_CLEAN_STAR_RATING,07/01/2021,06/30/2022
H_QUIET_STAR_RATING,07/01/2021,06/30/2022
H_HSP_RATING_STAR_RATING,07/01/2021,06/30/2022
H_RECMND_STAR_RATING,07/01/2021,06/30/2022
OP-10,07/01/2020,06/30/2021
OP-13,07/01/2020,06/30/2021
OP-8,07/01/2020,06/30/2021
