Measure ID,Start Date,End Date
HAI_1_DOPC,01/01/2023,12/31/2023
HAI_1_ELIGCASES,01/01/2023,12/31/2023
HAI_1_SIR,01/01/2023,12/31/2023
HAI_2_DOPC,01/01/2023,12/31/2023
HAI_2_ELIGCASES,01/01/2023,12/31/2023
HAI_2_SIR,01/01/2023,12/31/2023
HAI_3_DOPC,01/01/2023,12/31/2023
HAI_3_ELIGCASES,01/01/2023,12/31/2023
HAI_3_SIR,01/01/2023,12/31/2023
HAI_4_DOPC,01/01/2023,12/31/2023
HAI_4_ELIGCASES,01/01/2023,12/31/2023
HAI_4_SIR,01/01/2023,12/31/2023
HAI_5_DOPC,01/01/2023,12/31/2023
HAI_5_ELIGCASES,01/01/2023,12/31/2023
HAI_5_SIR,01/01/2023,12/31/2023
HAI_6_DOPC,01/01/2023,12/31/2023
HAI_6_ELIGCASES,01/01/2023,12/31/2023
HAI_6_SIR,01/01/2023,12/31/2023
EDAC_30_AMI,07/01/2020,06/30/2023
EDAC_30_HF,07/01/2020,06/30/2023
EDAC_30_PN,07/01/2020,06/30/2023
OP_32,01/01/2020,12/31/2022
OP_35_ADM,01/01/2022,12/31/2022
OP_35_ED,01/01/2022,12/31/2022
OP_36,01/01/2022,12/31/2022
READM_30_CABG,07/01/2020,06/30/2023
READM_30_COPD,07/01/2020,06/30/2023
READM_30_HIP_KNEE,07/01/2020,06/30/2023
READM_30_HOSP_WIDE,07/01/2022,06/30/2023
COMP_HIP_KNEE,07/01/2020,03/31/2023
MORT_30_AMI,07/01/2020,06/30/2023
MORT_30_CABG,07/01/2020,06/30/2023
MORT_30_COPD,07/01/2020,06/30/2023
MORT_30_HF,07/01/2020,06/30/2023
MORT_30_PN,07/01/2020,06/30/2023
MORT_30_STK,07/01/2020,06/30/2023
PSI_04,07/01/2021,06/30/2023
PSI_90,07/01/2021,06/30/2023
HCP_COVID_19,10/01/2023,12/31/2023
IMM_3,10/01/2023,03/31/2024
OP_18b,01/01/2023,12/31/2023
OP_22,01/01/2022,12/31/2022
OP_23,01/01/2023,12/31/2023
OP_29,01/01/2022,12/31/2022
SAFE_USE_OF_OPIOIDS,01/01/2023,12/31/2023
SEP_1,01/01/2023,12/31/2023
PC_01,01/01/2023,12/31/2023
H_COMP_1_STAR_RATING,01/01/2023,12/31/2023
H_COMP_2_STAR_RATING,01/01/2023,12/31/2023
H_COMP_3_STAR_RATING,01/01/2023,12/31/2023
H_COMP_5_STAR_RATING,01/01/2023,12/31/2023
H_COMP_6_STAR_RATING,01/01/2023,12/31/2023
H_COMP_7_STAR_RATING,01/01/2023,12/31/2023
H_CLEAN_STAR_RATING,01/01/2023,12/31/2023
H_QUIET_STAR_RATING,01/01/2023,12/31/2023
H_HSP_RATING_STAR_RATING,01/01/2023,12/31/2023
H_RECMND_STAR_RATING,01/01/2023,12/31/2023
OP-10,07/01/2022,06/30/2023
OP-13,07/01/2022,06/30/2023
OP-8,07/01/2022,06/30/2023
