Measure ID,Start Date,End Date
HAI_1_DOPC,07/01/2024,06/30/2025
HAI_1_ELIGCASES,07/01/2024,06/30/2025
HAI_1_SIR,07/01/2024,06/30/2025
HAI_2_DOPC,07/01/2024,06/30/2025
HAI_2_ELIGCASES,07/01/2024,06/30/2025
HAI_2_SIR,07/01/2024,06/30/2025
HAI_3_DOPC,07/01/2024,06/30/2025
HAI_3_ELIGCASES,07/01/2024,06/30/2025
HAI_3_SIR,07/01/2024,06/30/2025
HAI_4_DOPC,07/01/2024,06/30/2025
HAI_4_ELIGCASES,07/01/2024,06/30/2025
HAI_4_SIR,07/01/2024,06/30/2025
HAI_5_DOPC,07/01/2024,06/30/2025
HAI_5_ELIGCASES,07/01/2024,06/30/2025
HAI_5_SIR,07/01/2024,06/30/2025
HAI_6_DOPC,07/01/2024,06/30/2025
HAI_6_ELIGCASES,07/01/2024,06/30/2025
HAI_6_SIR,07/01/2024,06/30/2025
EDAC_30_AMI,07/01/2021,06/30/2024
EDAC_30_HF,07/01/2021,06/30/2024
EDAC_30_PN,07/01/2021,06/30/2024
Hybrid_HWR,07/01/2023,06/30/2024
OP_32,01/01/2022,12/31/2024
OP_35_ADM,01/01/2024,12/31/2024
OP_35_ED,01/01/2024,12/31/2024
OP_36,01/01/2024,12/31/2024
READM_30_CABG,07/01/2021,06/30/2024
READM_30_COPD,07/01/2021,06/30/2024
READM_30_HIP_KNEE,07/01/2021,06/30/2024
COMP_HIP_KNEE,04/01/2021,03/31/2024
Hybrid_HWM,07/01/2023,06/30/2024
MORT_30_AMI,07/01/2021,06/30/2024
MORT_30_CABG,07/01/2021,06/30/2024
MORT_30_COPD,07/01/2021,06/30/2024
MORT_30_HF,07/01/2021,06/30/2024
MORT_30_PN,07/01/2021,06/30/2024
MORT_30_STK,07/01/2021,06/30/2024
PSI_04,07/01/2022,06/30/2024
PSI_90,07/01/2022,06/30/2024
IMM_3,10/01/2024,03/31/2025
OP_18b,07/01/2024,06/30/2025
OP_22,01/01/2024,12/31/2024
OP_23,07/01/2024,06/30/2025
OP_29,01/01/2024,12/31/2024
SAFE_USE_OF_OPIOIDS,01/01/2024,12/31/2024
SEP_1,07/01/2024,06/30/2025
H_COMP_1_A_P,07/01/2024,06/30/2025
H_COMP_1_SN_P,07/01/2024,06/30/2025
H_COMP_1_U_P,07/01/2024,06/30/2025
H_COMP_1_LINEAR_SCORE,07/01/2024,06/30/2025
H_COMP_1_STAR_RATING,07/01/2024,06/30/2025
H_NURSE_RESPECT_A_P,07/01/2024,06/30/2025
H_NURSE_RESPECT_SN_P,07/01/2024,06/30/2025
H_NURSE_RESPECT_U_P,07/01/2024,06/30/2025
H_NURSE_LISTEN_A_P,07/01/2024,06/30/2025
H_NURSE_LISTEN_SN_P,07/01/2024,06/30/2025
H_NURSE_LISTEN_U_P,07/01/2024,06/30/2025
H_NURSE_EXPLAIN_A_P,07/01/2024,06/30/2025
H_NURSE_EXPLAIN_SN_P,07/01/2024,06/30/2025
H_NURSE_EXPLAIN_U_P,07/01/2024,06/30/2025
H_COMP_2_A_P,07/01/2024,06/30/2025
H_COMP_2_SN_P,07/01/2024,06/30/2025
H_COMP_2_U_P,07/01/2024,06/30/2025
H_COMP_2_LINEAR_SCORE,07/01/2024,06/30/2025
H_COMP_2_STAR_RATING,07/01/2024,06/30/2025
H_DOCTOR_RESPECT_A_P,07/01/2024,06/30/2025
H_DOCTOR_RESPECT_SN_P,07/01/2024,06/30/2025
H_DOCTOR_RESPECT_U_P,07/01/2024,06/30/2025
H_DOCTOR_LISTEN_A_P,07/01/2024,06/30/2025
H_DOCTOR_LISTEN_SN_P,07/01/2024,06/30/2025
H_DOCTOR_LISTEN_U_P,07/01/2024,06/30/2025
H_DOCTOR_EXPLAIN_A_P,07/01/2024,06/30/2025
H_DOCTOR_EXPLAIN_SN_P,07/01/2024,06/30/2025
H_DOCTOR_EXPLAIN_U_P,07/01/2024,06/30/2025
H_COMP_5_A_P,07/01/2024,06/30/2025
H_COMP_5_SN_P,07/01/2024,06/30/2025
H_COMP_5_U_P,07/01/2024,06/30/2025
H_COMP_5_LINEAR_SCORE,07/01/2024,06/30/2025
H_COMP_5_STAR_RATING,07/01/2024,06/30/2025
H_MED_FOR_A_P,07/01/2024,06/30/2025
H_MED_FOR_SN_P,07/01/2024,06/30/2025
H_MED_FOR_U_P,07/01/2024,06/30/2025
H_SIDE_EFFECTS_A_P,07/01/2024,06/30/2025
H_SIDE_EFFECTS_SN_P,07/01/2024,06/30/2025
H_SIDE_EFFECTS_U_P,07/01/2024,06/30/2025
H_COMP_6_N_P,07/01/2024,06/30/2025
H_COMP_6_Y_P,07/01/2024,06/30/2025
H_COMP_6_LINEAR_SCORE,07/01/2024,06/30/2025
H_COMP_6_STAR_RATING,07/01/2024,06/30/2025
H_DISCH_HELP_N_P,07/01/2024,06/30/2025
H_DISCH_HELP_Y_P,07/01/2024,06/30/2025
H_SYMPTOMS_N_P,07/01/2024,06/30/2025
H_SYMPTOMS_Y_P,07/01/2024,06/30/2025
H_CLEAN_HSP_A_P,07/01/2024,06/30/2025
H_CLEAN_HSP_SN_P,07/01/2024,06/30/2025
H_CLEAN_HSP_U_P,07/01/2024,06/30/2025
H_CLEAN_LINEAR_SCORE,07/01/2024,06/30/2025
H_CLEAN_STAR_RATING,07/01/2024,06/30/2025
H_QUIET_HSP_A_P,07/01/2024,06/30/2025
H_QUIET_HSP_SN_P,07/01/2024,06/30/2025
H_QUIET_HSP_U_P,07/01/2024,06/30/2025
H_QUIET_LINEAR_SCORE,07/01/2024,06/30/2025
H_QUIET_STAR_RATING,07/01/2024,06/30/2025
H_HSP_RATING_0_6,07/01/2024,06/30/2025
H_HSP_RATING_7_8,07/01/2024,06/30/2025
H_HSP_RATING_9_10,07/01/2024,06/30/2025
H_HSP_RATING_LINEAR_SCORE,07/01/2024,06/30/2025
H_HSP_RATING_STAR_RATING,07/01/2024,06/30/2025
H_RECMND_DN,07/01/2024,06/30/2025
H_RECMND_DY,07/01/2024,06/30/2025
H_RECMND_PY,07/01/2024,06/30/2025
H_RECMND_LINEAR_SCORE,07/01/2024,06/30/2025
H_RECMND_STAR_RATING,07/01/2024,06/30/2025
H_STAR_RATING,07/01/2024,06/30/2025
O-COMP-1,07/01/2024,06/30/2025
O-COMP-2,07/01/2024,06/30/2025
O-COMP-3,07/01/2024,06/30/2025
O-PATIENT-RATE,07/01/2024,06/30/2025
O-PATIENT-REC,07/01/2024,06/30/2025
OP-10,07/01/2023,06/30/2024
OP-13,07/01/2023,06/30/2024
OP-8,07/01/2023,06/30/2024
