"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,94,5,1,96,89,10,1,96,89,10,1,96,4607,1195,26,10/01/2022,09/30/2023
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,98,91,7,2,95,90,8,2,95,86,12,2,95,26255,7309,28,10/01/2022,09/30/2023
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97,3,0,98,91,7,2,94,88,10,2,95,86,12,2,95,65059,17450,27,10/01/2022,09/30/2023
Colorado,97,3,0,98,91,7,2,95,87,10,3,94,84,14,2,94,16920,4897,29,10/01/2022,09/30/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98,1,1,99,94,5,1,97,91,6,3,96,90,8,2,96,2619,703,27,10/01/2022,09/30/2023
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,
Florida,97,3,0,98,91,7,2,95,89,9,2,95,87,11,2,95,67250,20853,31,10/01/2022,09/30/2023
