"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.289,,07/01/2022,06/30/2023
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.803,,07/01/2022,06/30/2023
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.498,,07/01/2022,06/30/2023
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.814,,07/01/2022,06/30/2023
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.632,,07/01/2022,06/30/2023
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),1.170,,07/01/2022,06/30/2023
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.944,,07/01/2022,06/30/2023
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,2.231,,07/01/2022,06/30/2023
AK,HAI_3_SIR,SSI - Colon Surgery,1.485,,07/01/2022,06/30/2023
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.024,,07/01/2022,06/30/2023
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.326,,07/01/2022,06/30/2023
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.472,,07/01/2022,06/30/2023
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.180,,07/01/2022,06/30/2023
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.735,,07/01/2022,06/30/2023
AK,HAI_5_SIR,MRSA Bacteremia,0.387,,07/01/2022,06/30/2023
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.245,,07/01/2022,06/30/2023
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.459,,07/01/2022,06/30/2023
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.339,,07/01/2022,06/30/2023
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.872,,07/01/2022,06/30/2023
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.090,,07/01/2022,06/30/2023
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.976,,07/01/2022,06/30/2023
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.522,,07/01/2022,06/30/2023
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.651,,07/01/2022,06/30/2023
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.584,,07/01/2022,06/30/2023
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.561,,07/01/2022,06/30/2023
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.805,,07/01/2022,06/30/2023
AL,HAI_3_SIR,SSI - Colon Surgery,0.675,,07/01/2022,06/30/2023
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.467,,07/01/2022,06/30/2023
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.877,,07/01/2022,06/30/2023
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.648,,07/01/2022,06/30/2023
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.949,,07/01/2022,06/30/2023
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.225,,07/01/2022,06/30/2023
AL,HAI_5_SIR,MRSA Bacteremia,1.080,,07/01/2022,06/30/2023
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.447,,07/01/2022,06/30/2023
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.515,,07/01/2022,06/30/2023
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.480,,07/01/2022,06/30/2023
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.707,,07/01/2022,06/30/2023
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.963,,07/01/2022,06/30/2023
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.828,,07/01/2022,06/30/2023
