"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,92,7,1,95,85,12,3,94,83,15,2,93,53896,13558,26,10/01/2022,09/30/2023
Alaska,96,4,0,98,93,5,2,96,85,11,4,93,83,15,2,93,5380,808,15,10/01/2022,09/30/2023
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,96,3,1,98,91,7,2,94,84,12,4,93,81,16,3,92,31038,8564,29,10/01/2022,09/30/2023
Arkansas,97,3,0,98,91,7,2,95,84,13,3,94,80,17,3,92,12473,2594,21,10/01/2022,09/30/2023
California,96,3,1,98,90,8,2,94,85,12,3,94,82,15,3,93,381726,100348,27,10/01/2022,09/30/2023
Colorado,97,2,1,98,91,7,2,95,87,11,2,94,84,14,2,93,75856,18514,25,10/01/2022,09/30/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,95,85,13,2,94,83,15,2,93,34951,8866,25,10/01/2022,09/30/2023
Delaware,97,3,0,99,93,5,2,96,87,11,2,95,82,15,3,93,7317,1964,27,10/01/2022,09/30/2023
District of Columbia,95,4,1,97,90,8,2,94,79,18,3,92,78,19,3,91,13184,2208,17,10/01/2022,09/30/2023
Florida,96,3,1,98,90,8,2,94,86,11,3,94,84,13,3,93,106203,26823,26,10/01/2022,09/30/2023
Georgia,96,4,0,98,91,7,2,95,86,11,3,94,83,14,3,93,53420,11137,21,10/01/2022,09/30/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,3,1,98,91,8,1,95,83,14,3,93,80,18,2,93,15391,4636,30,10/01/2022,09/30/2023
Idaho,97,3,0,99,93,6,1,96,84,14,2,94,81,17,2,93,21515,5723,27,10/01/2022,09/30/2023
Illinois,97,3,0,98,92,6,2,95,87,10,3,94,81,17,2,93,69614,16732,25,10/01/2022,09/30/2023
Indiana,98,2,0,99,92,7,1,95,88,10,2,95,82,16,2,93,17934,5301,30,10/01/2022,09/30/2023
Iowa,98,2,0,99,93,6,1,96,88,10,2,95,83,16,1,94,26920,7488,32,10/01/2022,09/30/2023
Kansas,97,3,0,98,91,8,1,95,85,13,2,94,80,19,1,93,28154,7646,28,10/01/2022,09/30/2023
Kentucky,97,3,0,98,92,6,2,95,85,12,3,94,81,16,3,92,41859,8937,25,10/01/2022,09/30/2023
Louisiana,98,2,0,99,93,5,2,96,89,9,2,95,86,12,2,94,29543,6821,25,10/01/2022,09/30/2023
Maine,97,3,0,99,93,6,1,96,84,14,2,94,81,17,2,93,31648,9238,29,10/01/2022,09/30/2023
Maryland,97,3,0,98,91,7,2,95,84,13,3,93,80,17,3,92,37582,9087,24,10/01/2022,09/30/2023
Massachusetts,97,3,0,98,92,6,2,95,86,12,2,94,83,15,2,93,42923,10859,25,10/01/2022,09/30/2023
Michigan,97,3,0,98,91,7,2,95,84,13,3,93,78,19,3,91,59296,14481,24,10/01/2022,09/30/2023
Minnesota,98,2,0,99,92,7,1,95,84,14,2,93,78,21,1,92,20269,6166,31,10/01/2022,09/30/2023
Mississippi,97,2,1,98,92,6,2,95,85,11,4,94,82,15,3,93,28847,6115,21,10/01/2022,09/30/2023
Missouri,97,3,0,98,93,6,1,96,85,12,3,94,80,18,2,92,32566,7998,25,10/01/2022,09/30/2023
Montana,97,3,0,98,92,7,1,95,84,14,2,93,78,20,2,92,28807,7489,26,10/01/2022,09/30/2023
Nebraska,97,3,0,98,92,7,1,95,85,12,3,94,80,18,2,92,14264,3807,28,10/01/2022,09/30/2023
Nevada,95,4,1,97,89,8,3,93,83,14,3,93,81,16,3,92,22634,5260,23,10/01/2022,09/30/2023
New Hampshire,98,2,0,99,94,5,1,97,89,9,2,95,86,13,1,95,14656,4600,31,10/01/2022,09/30/2023
New Jersey,96,4,0,98,90,8,2,94,85,12,3,94,81,16,3,92,91867,21981,24,10/01/2022,09/30/2023
New Mexico,96,4,0,98,91,7,2,95,84,14,2,94,81,17,2,93,40685,8696,22,10/01/2022,09/30/2023
New York,97,3,0,98,91,7,2,95,83,14,3,93,80,18,2,92,147130,35273,24,10/01/2022,09/30/2023
North Carolina,97,3,0,98,93,6,1,96,88,10,2,95,84,14,2,94,90135,24485,27,10/01/2022,09/30/2023
North Dakota,98,2,0,99,92,7,1,96,82,15,3,93,74,24,2,91,12195,3509,29,10/01/2022,09/30/2023
Ohio,97,3,0,99,92,7,1,96,87,11,2,95,82,16,2,93,159651,39132,25,10/01/2022,09/30/2023
Oklahoma,97,3,0,98,92,7,1,95,87,11,2,95,85,13,2,94,49869,12574,25,10/01/2022,09/30/2023
Oregon,97,3,0,98,91,7,2,95,84,14,2,93,82,16,2,93,22482,5779,26,10/01/2022,09/30/2023
Pennsylvania,97,3,0,99,92,7,1,95,88,10,2,95,84,14,2,94,81027,24797,31,10/01/2022,09/30/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,98,2,0,99,92,7,1,95,90,8,2,96,89,10,1,96,3157,951,31,10/01/2022,09/30/2023
South Carolina,96,3,1,98,92,6,2,95,84,13,3,94,80,17,3,92,27601,6639,24,10/01/2022,09/30/2023
South Dakota,98,2,0,99,92,7,1,95,86,12,2,94,84,15,1,95,17356,2963,17,10/01/2022,09/30/2023
Tennessee,96,4,0,98,92,7,1,95,85,12,3,94,82,16,2,93,69017,15707,23,10/01/2022,09/30/2023
Texas,97,3,0,98,92,6,2,95,88,9,3,95,85,13,2,94,140754,29426,21,10/01/2022,09/30/2023
Utah,97,3,0,99,92,7,1,95,89,10,1,95,86,13,1,95,86081,18564,22,10/01/2022,09/30/2023
Vermont,98,2,0,99,93,6,1,96,87,11,2,94,84,15,1,94,17099,5106,31,10/01/2022,09/30/2023
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,92,7,1,96,87,11,2,94,83,15,2,93,73681,17871,24,10/01/2022,09/30/2023
Washington,97,3,0,98,92,7,1,95,84,14,2,94,81,17,2,92,75425,17525,24,10/01/2022,09/30/2023
West Virginia,97,3,0,98,92,7,1,95,84,14,2,93,80,18,2,92,46279,11239,24,10/01/2022,09/30/2023
Wisconsin,98,2,0,99,93,6,1,96,86,12,2,94,82,17,1,93,51425,17109,34,10/01/2022,09/30/2023
Wyoming,98,2,0,99,93,6,1,96,85,13,2,94,82,16,2,93,4631,1043,25,10/01/2022,09/30/2023
