"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,93,5,2,96,89,9,2,95,89,10,1,96,2877,767,27,04/01/2022,03/31/2023
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,98,91,7,2,95,89,9,2,95,86,13,1,95,24070,6885,29,04/01/2022,03/31/2023
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97,3,0,98,90,8,2,94,87,11,2,95,86,12,2,94,60232,16557,27,04/01/2022,03/31/2023
Colorado,97,3,0,99,92,6,2,95,88,10,2,95,85,13,2,94,13994,4068,29,04/01/2022,03/31/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,94,5,1,96,90,10,0,96,90,9,1,96,1038,298,29,04/01/2022,03/31/2023
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,
Florida,97,3,0,98,90,8,2,94,88,10,2,95,86,12,2,94,52234,16821,32,04/01/2022,03/31/2023
Georgia,98,2,0,99,92,6,2,95,91,8,1,96,89,9,2,95,15802,3759,24,04/01/2022,03/31/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,99,1,0,99,94,5,1,96,90,9,1,96,89,10,1,96,3804,1297,34,04/01/2022,03/31/2023
