"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,96,4,0,98,92,7,1,95,85,13,2,94,81,17,2,93,35013,8471,24,04/01/2022,03/31/2023
Alaska,95,4,1,97,90,8,2,94,79,17,4,92,78,20,2,92,4540,721,16,04/01/2022,03/31/2023
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,95,4,1,97,89,9,2,93,82,13,5,93,79,18,3,92,26163,7256,28,04/01/2022,03/31/2023
Arkansas,96,3,1,98,92,6,2,95,82,15,3,93,79,19,2,92,12808,2868,23,04/01/2022,03/31/2023
California,96,3,1,97,89,9,2,93,84,13,3,93,82,15,3,92,364551,92869,26,04/01/2022,03/31/2023
Colorado,97,3,0,98,92,7,1,95,87,11,2,94,85,13,2,94,65406,16876,26,04/01/2022,03/31/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,95,84,13,3,94,82,16,2,93,23572,6294,27,04/01/2022,03/31/2023
Delaware,97,3,0,99,93,5,2,96,86,12,2,94,81,17,2,93,7629,2050,27,04/01/2022,03/31/2023
District of Columbia,92,7,1,95,88,10,2,93,74,21,5,90,75,21,4,90,2087,398,19,04/01/2022,03/31/2023
Florida,96,3,1,97,89,9,2,93,84,12,4,93,82,15,3,93,58966,14399,25,04/01/2022,03/31/2023
Georgia,96,3,1,98,91,7,2,95,86,11,3,93,82,16,2,93,47775,10148,22,04/01/2022,03/31/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,90,8,2,95,83,14,3,93,80,18,2,93,12727,3875,31,04/01/2022,03/31/2023
Idaho,97,3,0,98,92,7,1,95,84,14,2,93,79,18,3,92,20461,5456,27,04/01/2022,03/31/2023
Illinois,97,2,1,98,92,6,2,95,87,10,3,94,81,17,2,92,65852,16179,25,04/01/2022,03/31/2023
Indiana,98,2,0,99,92,7,1,95,88,10,2,95,82,16,2,93,38293,10932,29,04/01/2022,03/31/2023
Iowa,98,2,0,99,93,6,1,96,89,9,2,95,83,16,1,94,13701,4300,35,04/01/2022,03/31/2023
Kansas,97,3,0,98,91,8,1,95,85,13,2,94,81,17,2,93,27271,7450,28,04/01/2022,03/31/2023
Kentucky,97,2,1,98,92,6,2,95,84,13,3,94,82,15,3,93,12243,1987,21,04/01/2022,03/31/2023
Louisiana,97,3,0,99,92,7,1,95,88,10,2,95,86,12,2,94,30977,6488,22,04/01/2022,03/31/2023
Maine,97,3,0,98,93,6,1,96,84,13,3,93,82,16,2,93,27577,7940,29,04/01/2022,03/31/2023
Maryland,97,3,0,98,91,7,2,95,85,11,4,93,81,16,3,92,32121,8443,26,04/01/2022,03/31/2023
Massachusetts,97,3,0,98,91,7,2,95,86,12,2,94,82,16,2,93,36453,9294,26,04/01/2022,03/31/2023
Michigan,96,4,0,98,91,7,2,94,83,13,4,92,77,20,3,91,58914,15162,26,04/01/2022,03/31/2023
Minnesota,98,2,0,99,91,8,1,95,84,14,2,93,78,20,2,92,19890,6012,30,04/01/2022,03/31/2023
Mississippi,97,3,0,98,92,6,2,95,86,11,3,94,82,15,3,93,23528,4803,21,04/01/2022,03/31/2023
Missouri,97,3,0,98,92,6,2,95,84,13,3,94,80,18,2,92,30921,7707,25,04/01/2022,03/31/2023
Montana,97,3,0,98,91,8,1,95,83,14,3,93,79,19,2,92,26907,7139,27,04/01/2022,03/31/2023
Nebraska,98,2,0,99,91,7,2,95,85,12,3,94,80,18,2,92,12890,3376,28,04/01/2022,03/31/2023
