"Measure ID","Measure Name","National Rate","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date"
COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3.2,7,2102,24,1225,,04/01/2019,03/31/2022
MORT_30_AMI,Death rate for heart attack patients,12.6,14,1929,22,1981,,07/01/2019,06/30/2022
MORT_30_CABG,Death rate for CABG surgery patients,2.9,6,880,2,209,,07/01/2019,06/30/2022
MORT_30_COPD,Death rate for COPD patients,9.2,20,2569,24,1885,,07/01/2019,06/30/2022
MORT_30_HF,Death rate for heart failure patients,11.8,97,2808,215,1398,,07/01/2019,06/30/2022
MORT_30_PN,Death rate for pneumonia patients,18.2,135,3240,219,1008,,07/01/2019,06/30/2022
MORT_30_STK,Death rate for stroke patients,13.9,43,2035,76,1901,,07/01/2019,06/30/2022
PSI_03,Pressure ulcer rate,0.62,229,3015,27,59,,07/01/2019,06/30/2021
PSI_04,Death rate among surgical inpatients with serious treatable complications,143.04,28,1381,27,1201,,07/01/2019,06/30/2021
PSI_06,Iatrogenic pneumothorax rate,0.19,4,3293,1,44,,07/01/2019,06/30/2021
PSI_08,In-hospital fall with hip fracture rate,0.07,26,3271,0,45,,07/01/2019,06/30/2021
PSI_09,Postoperative hemorrhage or hematoma rate,2.39,30,2949,1,173,,07/01/2019,06/30/2021
PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.92,33,2624,1,342,,07/01/2019,06/30/2021
PSI_11,Postoperative respiratory failure rate,6.47,129,2484,45,343,,07/01/2019,06/30/2021
PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.41,62,2912,12,167,,07/01/2019,06/30/2021
PSI_13,Postoperative sepsis rate,4.09,38,2565,17,355,,07/01/2019,06/30/2021
PSI_14,Postoperative wound dehiscence rate,0.82,7,2670,0,396,,07/01/2019,06/30/2021
PSI_15,Abdominopelvic accidental puncture or laceration rate,1.04,42,2899,1,219,,07/01/2019,06/30/2021
PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00,102,2899,105,Not Available,,07/01/2019,06/30/2021
