"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.165,,01/01/2022,12/31/2022
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.578,,01/01/2022,12/31/2022
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.324,,01/01/2022,12/31/2022
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.606,,01/01/2022,12/31/2022
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.332,,01/01/2022,12/31/2022
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.916,,01/01/2022,12/31/2022
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.720,,01/01/2022,12/31/2022
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.780,,01/01/2022,12/31/2022
AK,HAI_3_SIR,SSI - Colon Surgery,1.162,,01/01/2022,12/31/2022
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.318,,01/01/2022,12/31/2022
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,3.401,,01/01/2022,12/31/2022
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.249,,01/01/2022,12/31/2022
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.507,,01/01/2022,12/31/2022
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.286,,01/01/2022,12/31/2022
AK,HAI_5_SIR,MRSA Bacteremia,0.830,,01/01/2022,12/31/2022
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.162,,01/01/2022,12/31/2022
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.345,,01/01/2022,12/31/2022
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.241,,01/01/2022,12/31/2022
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.993,,01/01/2022,12/31/2022
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.225,,01/01/2022,12/31/2022
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.105,,01/01/2022,12/31/2022
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.584,,01/01/2022,12/31/2022
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.720,,01/01/2022,12/31/2022
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.649,,01/01/2022,12/31/2022
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.562,,01/01/2022,12/31/2022
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.810,,01/01/2022,12/31/2022
AL,HAI_3_SIR,SSI - Colon Surgery,0.677,,01/01/2022,12/31/2022
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.698,,01/01/2022,12/31/2022
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.192,,01/01/2022,12/31/2022
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.920,,01/01/2022,12/31/2022
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.164,,01/01/2022,12/31/2022
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.472,,01/01/2022,12/31/2022
AL,HAI_5_SIR,MRSA Bacteremia,1.312,,01/01/2022,12/31/2022
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.470,,01/01/2022,12/31/2022
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.540,,01/01/2022,12/31/2022
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.504,,01/01/2022,12/31/2022
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.739,,01/01/2022,12/31/2022
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.998,,01/01/2022,12/31/2022
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.861,,01/01/2022,12/31/2022
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.455,,01/01/2022,12/31/2022
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.628,,01/01/2022,12/31/2022
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.536,,01/01/2022,12/31/2022
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.762,,01/01/2022,12/31/2022
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.161,,01/01/2022,12/31/2022
AR,HAI_3_SIR,SSI - Colon Surgery,0.946,,01/01/2022,12/31/2022
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.378,,01/01/2022,12/31/2022
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.049,,01/01/2022,12/31/2022
