"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,96,4,0,98,92,7,1,95,85,12,3,94,82,16,2,93,59390,14997,26,07/01/2022,06/30/2023
Alaska,95,4,1,97,91,7,2,94,83,13,4,93,82,16,2,93,5109,807,16,07/01/2022,06/30/2023
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,95,4,1,97,89,9,2,94,83,12,5,93,80,17,3,92,34911,9667,29,07/01/2022,06/30/2023
Arkansas,97,2,1,98,92,6,2,95,83,14,3,93,78,19,3,91,12197,2604,21,07/01/2022,06/30/2023
California,96,3,1,98,90,8,2,94,85,12,3,93,82,15,3,93,379001,98207,27,07/01/2022,06/30/2023
Colorado,97,2,1,98,91,8,1,95,87,11,2,94,84,14,2,94,68961,17420,25,07/01/2022,06/30/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,95,84,13,3,94,82,16,2,93,24111,6497,27,07/01/2022,06/30/2023
Delaware,97,2,1,99,92,6,2,96,86,11,3,94,81,17,2,93,7729,2090,27,07/01/2022,06/30/2023
District of Columbia,93,6,1,96,89,9,2,93,78,18,4,91,78,19,3,91,1954,370,19,07/01/2022,06/30/2023
Florida,96,3,1,97,90,8,2,94,85,11,4,93,82,15,3,93,58637,14273,25,07/01/2022,06/30/2023
Georgia,97,3,0,98,91,7,2,95,86,11,3,94,82,16,2,93,51253,10914,22,07/01/2022,06/30/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,91,7,2,95,82,15,3,93,80,17,3,92,13953,4230,31,07/01/2022,06/30/2023
Idaho,97,3,0,98,92,7,1,96,84,14,2,94,80,18,2,92,21110,5601,27,07/01/2022,06/30/2023
Illinois,97,2,1,98,92,6,2,95,86,11,3,94,81,17,2,93,63070,15452,25,07/01/2022,06/30/2023
Indiana,98,2,0,99,92,7,1,95,88,10,2,94,82,16,2,93,17645,5244,30,07/01/2022,06/30/2023
Iowa,98,2,0,99,93,6,1,96,88,10,2,95,83,16,1,94,29901,7918,32,07/01/2022,06/30/2023
Kansas,97,3,0,98,91,8,1,95,85,13,2,94,81,18,1,93,27664,7480,27,07/01/2022,06/30/2023
Kentucky,97,2,1,98,92,7,1,95,85,13,2,94,82,16,2,93,12941,1806,22,07/01/2022,06/30/2023
Louisiana,97,3,0,99,93,6,1,96,88,10,2,95,86,12,2,94,31595,6942,23,07/01/2022,06/30/2023
Maine,97,3,0,98,93,6,1,96,84,13,3,93,82,16,2,93,29642,8665,29,07/01/2022,06/30/2023
Maryland,96,4,0,98,91,7,2,94,84,12,4,93,80,17,3,92,29358,7773,26,07/01/2022,06/30/2023
Massachusetts,97,3,0,98,92,6,2,95,86,12,2,94,83,15,2,93,36999,9479,26,07/01/2022,06/30/2023
Michigan,96,4,0,98,91,7,2,95,83,14,3,93,77,20,3,91,58974,14675,25,07/01/2022,06/30/2023
Minnesota,98,2,0,99,91,8,1,95,84,14,2,93,78,21,1,92,20974,6423,31,07/01/2022,06/30/2023
Mississippi,96,3,1,98,92,5,3,95,85,12,3,93,82,15,3,92,28627,6168,22,07/01/2022,06/30/2023
Missouri,97,3,0,98,92,6,2,95,84,13,3,94,80,18,2,92,32100,7926,25,07/01/2022,06/30/2023
Montana,97,3,0,98,92,6,2,95,83,14,3,93,78,20,2,92,33897,8351,26,07/01/2022,06/30/2023
Nebraska,97,3,0,99,91,7,2,95,85,12,3,94,79,19,2,92,12980,3336,27,07/01/2022,06/30/2023
Nevada,95,4,1,97,88,9,3,93,81,15,4,92,79,17,4,91,19515,4443,23,07/01/2022,06/30/2023
New Hampshire,98,2,0,99,94,5,1,97,88,10,2,95,84,14,2,94,14139,4471,32,07/01/2022,06/30/2023
New Jersey,96,3,1,98,90,7,3,94,84,13,3,94,81,16,3,92,93298,22781,25,07/01/2022,06/30/2023
New Mexico,96,4,0,98,90,8,2,94,84,14,2,93,80,18,2,92,39728,8538,22,07/01/2022,06/30/2023
New York,96,4,0,98,91,7,2,95,83,14,3,93,79,19,2,92,127880,30569,24,07/01/2022,06/30/2023
North Carolina,97,3,0,98,93,6,1,96,86,12,2,94,83,15,2,93,86411,23316,27,07/01/2022,06/30/2023
North Dakota,97,3,0,99,93,6,1,96,80,17,3,93,73,25,2,90,12437,3610,29,07/01/2022,06/30/2023
Ohio,98,2,0,99,92,7,1,95,87,11,2,94,82,16,2,93,152064,37515,25,07/01/2022,06/30/2023
Oklahoma,97,3,0,99,92,7,1,95,88,10,2,95,85,13,2,94,45202,11449,25,07/01/2022,06/30/2023
Oregon,97,3,0,98,91,8,1,95,83,15,2,93,82,16,2,93,22447,5742,27,07/01/2022,06/30/2023
Pennsylvania,97,3,0,99,92,7,1,95,88,10,2,95,84,14,2,94,78811,24115,31,07/01/2022,06/30/2023
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,98,2,0,99,92,6,2,95,90,8,2,95,92,7,1,97,1487,435,30,07/01/2022,06/30/2023
South Carolina,96,3,1,98,91,7,2,95,84,13,3,93,79,19,2,92,20756,5241,25,07/01/2022,06/30/2023
South Dakota,98,1,1,99,92,7,1,95,86,12,2,94,84,15,1,94,16826,2934,18,07/01/2022,06/30/2023
Tennessee,96,4,0,98,91,8,1,95,84,13,3,93,81,17,2,93,68504,15688,23,07/01/2022,06/30/2023
Texas,97,3,0,98,92,6,2,95,88,9,3,95,85,13,2,94,124596,26206,21,07/01/2022,06/30/2023
Utah,97,3,0,99,92,7,1,95,89,9,2,95,86,13,1,95,85210,18703,22,07/01/2022,06/30/2023
Vermont,98,2,0,99,92,7,1,95,86,12,2,94,84,14,2,94,16752,5032,31,07/01/2022,06/30/2023
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,92,7,1,95,87,11,2,94,83,15,2,93,72351,17812,25,07/01/2022,06/30/2023
Washington,96,4,0,98,92,7,1,95,83,14,3,93,81,17,2,92,75685,17753,24,07/01/2022,06/30/2023
West Virginia,97,3,0,98,92,7,1,95,83,15,2,93,80,18,2,92,45297,11037,24,07/01/2022,06/30/2023
Wisconsin,98,2,0,99,92,7,1,96,86,12,2,94,82,17,1,93,53342,17718,34,07/01/2022,06/30/2023
Wyoming,97,3,0,98,92,6,2,96,84,13,3,93,81,17,2,92,4886,1129,26,07/01/2022,06/30/2023
