"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,93,6,1,95,89,9,2,95,90,9,1,96,4475,1152,26,07/01/2022,06/30/2023
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,98,91,7,2,95,89,9,2,95,86,12,2,95,24970,7070,28,07/01/2022,06/30/2023
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97,3,0,98,90,8,2,94,88,10,2,95,86,12,2,94,64321,17494,27,07/01/2022,06/30/2023
Colorado,97,3,0,98,91,7,2,95,88,9,3,94,85,13,2,94,16043,4567,28,07/01/2022,06/30/2023
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98,2,0,99,93,6,1,96,91,8,1,96,92,7,1,97,1046,305,29,07/01/2022,06/30/2023
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,,,,,,,,,,,,,,,,,,,,,
Florida,97,3,0,98,91,7,2,94,88,10,2,95,87,11,2,95,55126,17674,32,07/01/2022,06/30/2023
Georgia,97,3,0,99,93,6,1,96,91,7,2,96,90,8,2,96,20478,4817,24,07/01/2022,06/30/2023
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,98,2,0,99,94,5,1,97,90,8,2,95,89,9,2,95,3887,1326,34,07/01/2022,06/30/2023
Idaho,99,1,0,99,94,5,1,96,91,7,2,96,88,10,2,95,2887,786,27,07/01/2022,06/30/2023
Illinois,98,2,0,99,92,6,2,95,89,9,2,95,86,12,2,95,8742,2603,30,07/01/2022,06/30/2023
Indiana,98,2,0,99,91,7,2,95,88,11,1,95,86,12,2,95,9517,3256,34,07/01/2022,06/30/2023
Iowa,98,2,0,99,91,8,1,95,90,8,2,95,88,10,2,95,1371,567,41,07/01/2022,06/30/2023
Kansas,98,2,0,99,89,9,2,93,89,9,2,95,87,12,1,95,938,359,38,07/01/2022,06/30/2023
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisiana,97,2,1,98,92,6,2,95,88,10,2,95,88,10,2,95,6793,1896,28,07/01/2022,06/30/2023
Maine,98,2,0,99,94,5,1,96,91,8,1,96,88,10,2,95,832,274,33,07/01/2022,06/30/2023
Maryland,97,3,0,98,91,7,2,95,87,11,2,94,83,14,3,93,29153,7931,27,07/01/2022,06/30/2023
Massachusetts,96,3,1,98,91,8,1,95,86,12,2,95,85,13,2,94,1155,398,34,07/01/2022,06/30/2023
