"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.261,,04/01/2022,03/31/2023
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.751,,04/01/2022,03/31/2023
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.459,,04/01/2022,03/31/2023
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.709,,04/01/2022,03/31/2023
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.491,,04/01/2022,03/31/2023
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),1.046,,04/01/2022,03/31/2023
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.867,,04/01/2022,03/31/2023
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,2.051,,04/01/2022,03/31/2023
AK,HAI_3_SIR,SSI - Colon Surgery,1.365,,04/01/2022,03/31/2023
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.330,,04/01/2022,03/31/2023
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,3.533,,04/01/2022,03/31/2023
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.298,,04/01/2022,03/31/2023
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.298,,04/01/2022,03/31/2023
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.935,,04/01/2022,03/31/2023
AK,HAI_5_SIR,MRSA Bacteremia,0.550,,04/01/2022,03/31/2023
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.174,,04/01/2022,03/31/2023
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.360,,04/01/2022,03/31/2023
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.254,,04/01/2022,03/31/2023
