"State","E-mail Address","Phone"
"Alabama","tonya.blankenship@adph.state.al.us","334-206-7039"
"Alaska","angela.rick@alaska.gov","907-334-2491"
"Arizona","AZLICENSE@AZDHS.GOV","602-364-2948"
"Arkansas","debra.tyler@arkansas.gov","501-661-2533"
"California","CDPH-ASPEN-HELP@cdph.ca.gov","916-552-8910"
"Colorado","betty.metz@state.co.us","303-692-2905"
"Connecticut","surjit.sethuraman@ct.gov","860-509-7134"
"D.C.","jeffrey.butler@dc.gov","202-741-7689"
"Delaware","DEDivisionofPublicHealthOHFLC@state.de.us","302-283-7220"
"Florida","Hospitals@ahca.myflorida.com","850-412-4549"
"Georgia","jcthompson@dch.ga.gov","404-651-7301"
"Hawaii","sergio.delbanco@doh.hawaii.gov","808-692-7426"
"Idaho","rennauxs@dhw.idaho.gov","208-334-6626"
"Illinois","karen.senger@illinois.gov","217-782-0381"
"Indiana","jhayes@isdh.in.gov","317-233-7455"
"Iowa","terry.ventling@dia.iowa.gov","515-281-6968"
"Kansas","jeff.burkhart@kdads.ks.gov","785-296-1243"
"Kentucky","rhonda.littleton@ky.gov","502-564-7963 ext. 3300"
"Louisiana","michael.mire@la.gov","225-342-2482"
"Maine","susan.cloutier@maine.gov","207-624-9956"
"Maryland","daniel.pettingill@maryland.gov","410-402-8155"
"Massachusetts","andrew.sinatra@state.ma.us","617-753-8188"
"Michigan","FosterK4@michigan.gov","517-241-3834"
"Minnesota","ron.paul@state.mn.us","651-201-3810"
"Mississippi","glenn.wood@msdh.ms.gov","601-364-1106"
"Missouri","sarah.burch@health.mo.gov","573-751-6306"
"Montana","mtssad@mt.gov","406-444-2099"
"Nebraska","linda.stenvers@nebraska.gov","402-471-4972"
"Nevada","mguzzetta@health.nv.gov","775-684-1030"
"New Hampshire","ldeblois@dhhs.state.nh.us","603-271-2594"
"New Jersey","jeanette.bergeron@doh.nj.gov","609-376-9456"
"New Mexico","palden.digkhang1@state.nm.us","505-629-7201"
"New York","gregory.schoonmaker@health.ny.gov","518-402-0917"
"North Carolina","azzie.conley@dhhs.nc.gov","919-855-4646"
"North Dakota","mjdillman@nd.gov","701-328-1713"
"Ohio","dawn.mcallister@odh.ohio.gov","614-995-4263"
"Oklahoma","terriD@health.ok.gov","405-271-6576 ext. 57334"
"Oregon","sheryl.l.luper@state.or.us","503-945-5877"
"Pennsylvania","ggladfelte@pa.gov","717-783-8980"
"Puerto Rico","jrivera@salud.gov.pr","787-782-0120 ext. 4714"
"Rhode Island","william.finocchiaro@health.ri.gov","401-222-4525"
"South Carolina","olivarjm@dhec.sc.gov","803-545-4104"
"South Dakota","connie.richards@state.sd.us","605-773-3694"
"Tennessee","dolores.willis@tn.gov","615-253-3663"
"Texas","provider.compare@hhsc.state.tx.us","512-438-2104"
"Utah","angelaanderson@utah.gov","801-273-2810"
"Vermont","tammy.wehmeyer@vermont.gov","802-241-0365"
"Virginia","sandy.lee@vdh.virginia.gov","804-367-6636"
"Washington","valerie.vajda@doh.wa.gov","360-236-4735"
"West Virginia","correy.d.beard@wv.gov","304-558-0050"
"Wisconsin","sherry.walters@dhs.wisconsin.gov","715-836-4420"
"Wyoming","tammy.schmitt@wyo.gov","307-777-7124"
