"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,14,01/01/2019,12/31/2019
AL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2019,12/31/2019
AR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2019,12/31/2019
AS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2019,12/31/2019
AZ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,01/01/2019,12/31/2019
CA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2019,12/31/2019
CO,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2019,12/31/2019
CT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2019,12/31/2019
DC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,14,01/01/2019,12/31/2019
DE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,14,01/01/2019,12/31/2019
FL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,01/01/2019,12/31/2019
GA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2019,12/31/2019
GU,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2019,12/31/2019
HI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,,01/01/2019,12/31/2019
IA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,01/01/2019,12/31/2019
ID,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2019,12/31/2019
IL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2019,12/31/2019
IN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2019,12/31/2019
KS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2019,12/31/2019
KY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2019,12/31/2019
LA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,01/01/2019,12/31/2019
MA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2019,12/31/2019
MD,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2019,12/31/2019
ME,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2019,12/31/2019
MI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2019,12/31/2019
MN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.89,,01/01/2019,12/31/2019
MO,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2019,12/31/2019
MP,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2019,12/31/2019
MS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2019,12/31/2019
MT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.88,,01/01/2019,12/31/2019
NC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2019,12/31/2019
ND,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,14,01/01/2019,12/31/2019
NE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2019,12/31/2019
NH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,14,01/01/2019,12/31/2019
NJ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.06,,01/01/2019,12/31/2019
NM,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,01/01/2019,12/31/2019
NV,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,01/01/2019,12/31/2019
NY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2019,12/31/2019
OH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2019,12/31/2019
OK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2019,12/31/2019
OR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.89,,01/01/2019,12/31/2019
PA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2019,12/31/2019
PR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2019,12/31/2019
RI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2019,12/31/2019
SC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2019,12/31/2019
SD,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,14,01/01/2019,12/31/2019
TN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2019,12/31/2019
