"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,,,,,,,,,,,,,,,,,4,,,,,
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,(334) 335-3374,99,1,0,100,92,7,1,96,92,8,0,95,82,18,0,94,3,183,40,23,07/01/2019,12/31/2020
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,,,,,,,,,,,,,,,,,4,,,,,
010018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,AL,35233,JEFFERSON,(205) 325-8100,,,,,,,,,,,,,,,,,4,,,,,
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,97,3,0,98,90,8,2,94,86,12,2,94,87,12,1,95,,3167,828,26,07/01/2019,12/31/2020
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,97,2,1,98,93,5,2,95,87,10,3,95,91,8,1,97,,976,238,25,07/01/2019,12/31/2020
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,94,5,1,96,90,8,2,94,81,16,3,93,82,16,2,93,,3387,874,26,07/01/2019,12/31/2020
010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,(334) 528-1300,97,3,0,98,90,8,2,94,87,11,2,94,87,11,2,95,,1780,439,25,07/01/2019,12/31/2020
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35249,JEFFERSON,(205) 934-4011,,,,,,,,,,,,,,,,,4,,,,,
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,(256) 737-2000,98,2,0,99,93,5,2,96,85,12,3,94,78,20,2,92,,1532,439,29,07/01/2019,12/31/2020
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,(256) 265-1000,96,4,0,98,89,9,2,93,87,12,1,95,86,13,1,95,,4955,1219,25,07/01/2019,12/31/2020
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,(205) 921-6200,99,1,0,99,95,4,1,97,89,11,0,95,83,16,1,94,,369,115,31,07/01/2019,12/31/2020
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,(205) 932-5966,98,2,0,99,92,6,2,95,92,6,2,96,89,10,1,96,,881,256,29,07/01/2019,12/31/2020
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,(256) 974-2200,99,1,0,99,99,1,0,99,87,13,0,96,79,21,0,93,3,53,20,38,07/01/2019,12/31/2020
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,(256) 259-4444,94,5,1,97,88,8,4,92,72,23,5,90,76,19,5,90,,1241,276,23,07/01/2019,12/31/2020
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,(334) 684-3655,97,2,1,98,94,4,2,96,81,12,7,91,87,12,1,95,,618,137,23,07/01/2019,12/31/2020
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,(256) 329-7100,97,3,0,98,93,5,2,96,82,14,4,93,79,18,3,92,,2158,578,28,07/01/2019,12/31/2020
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,AL,36251,CLAY,(256) 354-2131,98,2,0,99,95,4,1,97,80,15,5,91,88,11,1,95,,468,148,32,07/01/2019,12/31/2020
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,(256) 235-5121,96,3,1,97,92,6,2,95,75,21,4,91,78,19,3,92,,1476,331,23,07/01/2019,12/31/2020
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,(256) 233-9292,98,2,0,99,92,6,2,95,90,9,1,95,87,12,1,95,,1686,479,29,07/01/2019,12/31/2020
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,(256) 341-2000,96,4,0,98,90,9,1,95,80,17,3,92,74,24,2,90,,1549,420,27,07/01/2019,12/31/2020
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,(205) 487-7000,97,3,0,98,93,5,2,95,83,14,3,93,85,13,2,94,,980,213,22,07/01/2019,12/31/2020
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,(205) 387-4000,,,,,,,,,,,,,,,,,4,,,,,
010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,(205) 759-7111,97,3,0,98,93,6,1,96,86,12,2,94,82,16,2,93,,7239,1799,25,07/01/2019,12/31/2020
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,(251) 928-2375,97,2,1,98,91,5,4,94,84,13,3,94,89,9,2,96,,2248,460,21,07/01/2019,12/31/2020
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35160,TALLADEGA,(256) 761-4542,,,,,,,,,,,,,,,,,4,,,,,
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,(205) 783-3800,,,,,,,,,,,,,,,,,4,,,,,
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,(334) 361-4267,96,4,0,98,92,6,2,95,85,12,3,93,84,14,2,94,,1744,508,29,07/01/2019,12/31/2020
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,(251) 435-4700,95,4,1,97,89,8,3,93,81,16,3,93,86,11,3,94,,2311,524,23,07/01/2019,12/31/2020
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,MONROE,(251) 575-3111,98,2,0,99,95,4,1,97,86,12,2,94,86,13,1,95,,701,184,27,07/01/2019,12/31/2020
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,(334) 670-5000,98,2,0,99,94,5,1,96,83,13,4,93,84,15,1,94,,1520,360,24,07/01/2019,12/31/2020
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,(251) 937-5521,97,2,1,98,93,4,3,95,89,10,1,95,88,11,1,95,,1484,280,19,07/01/2019,12/31/2020
010139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,(205) 877-1000,,,,,,,,,,,,,,,,,4,,,,,
