"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,OP_10,Abdomen CT Use of Contrast Material,1.3,,07/01/2019,12/31/2019
AK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.3,,07/01/2019,12/31/2019
AK,OP_8,MRI Lumbar Spine for Low Back Pain,42.4,,07/01/2019,12/31/2019
AL,OP_10,Abdomen CT Use of Contrast Material,2.9,,07/01/2019,12/31/2019
AL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.1,,07/01/2019,12/31/2019
AL,OP_8,MRI Lumbar Spine for Low Back Pain,42,,07/01/2019,12/31/2019
AR,OP_10,Abdomen CT Use of Contrast Material,2.5,,07/01/2019,12/31/2019
AR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.4,,07/01/2019,12/31/2019
AR,OP_8,MRI Lumbar Spine for Low Back Pain,39.8,,07/01/2019,12/31/2019
AS,OP_10,Abdomen CT Use of Contrast Material,Not Available,5,07/01/2019,12/31/2019
AS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5,07/01/2019,12/31/2019
AS,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5,07/01/2019,12/31/2019
AZ,OP_10,Abdomen CT Use of Contrast Material,1.6,,07/01/2019,12/31/2019
AZ,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2019,12/31/2019
AZ,OP_8,MRI Lumbar Spine for Low Back Pain,40.9,,07/01/2019,12/31/2019
CA,OP_10,Abdomen CT Use of Contrast Material,1.8,,07/01/2019,12/31/2019
CA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.7,,07/01/2019,12/31/2019
CA,OP_8,MRI Lumbar Spine for Low Back Pain,38.5,,07/01/2019,12/31/2019
CO,OP_10,Abdomen CT Use of Contrast Material,1.7,,07/01/2019,12/31/2019
CO,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4,,07/01/2019,12/31/2019
CO,OP_8,MRI Lumbar Spine for Low Back Pain,36.2,,07/01/2019,12/31/2019
CT,OP_10,Abdomen CT Use of Contrast Material,1.2,,07/01/2019,12/31/2019
CT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.4,,07/01/2019,12/31/2019
CT,OP_8,MRI Lumbar Spine for Low Back Pain,35.7,,07/01/2019,12/31/2019
DC,OP_10,Abdomen CT Use of Contrast Material,0.9,,07/01/2019,12/31/2019
DC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5,,07/01/2019,12/31/2019
DC,OP_8,MRI Lumbar Spine for Low Back Pain,40.5,,07/01/2019,12/31/2019
DE,OP_10,Abdomen CT Use of Contrast Material,1.1,,07/01/2019,12/31/2019
DE,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.6,,07/01/2019,12/31/2019
DE,OP_8,MRI Lumbar Spine for Low Back Pain,33.8,,07/01/2019,12/31/2019
FL,OP_10,Abdomen CT Use of Contrast Material,1.4,,07/01/2019,12/31/2019
FL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.9,,07/01/2019,12/31/2019
FL,OP_8,MRI Lumbar Spine for Low Back Pain,37.9,,07/01/2019,12/31/2019
GA,OP_10,Abdomen CT Use of Contrast Material,1.9,,07/01/2019,12/31/2019
GA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2019,12/31/2019
GA,OP_8,MRI Lumbar Spine for Low Back Pain,37,,07/01/2019,12/31/2019
GU,OP_10,Abdomen CT Use of Contrast Material,Not Available,5,07/01/2019,12/31/2019
GU,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5,07/01/2019,12/31/2019
GU,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5,07/01/2019,12/31/2019
HI,OP_10,Abdomen CT Use of Contrast Material,1,,07/01/2019,12/31/2019
