"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,2,1,98,92,6,2,95,84,13,3,93,84,14,2,94,51374,12871,25,07/01/2019,12/31/2020
Alaska,93,7,0,97,89,10,1,94,82,15,3,93,82,16,2,93,6152,1184,19,07/01/2019,12/31/2020
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,98,91,7,2,95,88,10,2,94,84,14,2,94,9927,2718,32,07/01/2019,12/31/2020
Arkansas,96,4,0,98,91,7,2,94,84,13,3,94,82,16,2,93,16431,3982,24,07/01/2019,12/31/2020
California,96,3,1,98,89,9,2,93,85,12,3,94,83,15,2,93,331658,90532,28,07/01/2019,12/31/2020
Colorado,97,3,0,98,91,8,1,95,86,12,2,94,85,13,2,94,58534,15089,26,07/01/2019,12/31/2020
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,2,1,98,91,7,2,95,85,13,2,94,81,17,2,93,22513,6235,28,07/01/2019,12/31/2020
Delaware,98,2,0,99,93,6,1,96,88,10,2,95,83,15,2,93,6410,1739,27,07/01/2019,12/31/2020
District of Columbia,93,5,2,95,90,8,2,94,73,22,5,90,78,17,5,91,1263,239,19,07/01/2019,12/31/2020
Florida,96,3,1,98,91,7,2,95,87,10,3,94,85,13,2,94,65419,16322,26,07/01/2019,12/31/2020
Georgia,96,4,0,98,91,7,2,95,85,12,3,94,83,15,2,93,53826,12143,23,07/01/2019,12/31/2020
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,89,9,2,94,83,14,3,93,83,15,2,93,8188,2635,33,07/01/2019,12/31/2020
Idaho,97,3,0,98,91,8,1,95,86,12,2,94,82,17,1,93,19175,5396,29,07/01/2019,12/31/2020
Illinois,97,3,0,98,91,7,2,95,85,12,3,94,79,19,2,92,73010,19618,28,07/01/2019,12/31/2020
Indiana,98,2,0,99,91,7,2,95,88,10,2,95,82,17,1,93,38561,9661,27,07/01/2019,12/31/2020
Iowa,98,2,0,99,91,8,1,95,86,12,2,94,82,16,2,93,57132,18302,34,07/01/2019,12/31/2020
Kansas,97,3,0,98,91,8,1,94,85,13,2,94,80,18,2,92,18752,4642,26,07/01/2019,12/31/2020
Kentucky,97,3,0,99,92,7,1,95,84,13,3,94,80,18,2,92,18405,4243,23,07/01/2019,12/31/2020
Louisiana,97,3,0,98,92,6,2,95,88,10,2,95,83,15,2,93,33358,7518,23,07/01/2019,12/31/2020
Maine,97,3,0,98,92,7,1,95,83,14,3,93,80,18,2,93,15771,4806,30,07/01/2019,12/31/2020
Maryland,97,3,0,98,91,8,1,95,85,12,3,94,80,17,3,92,16479,4147,25,07/01/2019,12/31/2020
Massachusetts,97,3,0,98,91,7,2,94,85,13,2,94,84,14,2,94,33892,9738,29,07/01/2019,12/31/2020
Michigan,97,3,0,98,92,7,1,95,84,14,2,94,79,19,2,92,36766,10787,30,07/01/2019,12/31/2020
Minnesota,97,3,0,98,90,8,2,94,83,14,3,93,81,17,2,93,12903,4002,31,07/01/2019,12/31/2020
Mississippi,97,3,0,98,92,6,2,95,86,12,2,94,84,14,2,94,23677,5348,23,07/01/2019,12/31/2020
Missouri,97,3,0,98,91,7,2,95,85,13,2,94,80,18,2,93,39121,10030,26,07/01/2019,12/31/2020
Montana,97,3,0,98,90,8,2,94,83,14,3,93,78,20,2,92,21829,6779,31,07/01/2019,12/31/2020
Nebraska,97,3,0,99,91,8,1,95,85,12,3,94,82,16,2,93,15323,4646,32,07/01/2019,12/31/2020
Nevada,95,4,1,98,87,10,3,92,81,16,3,93,81,16,3,92,12774,3251,25,07/01/2019,12/31/2020
New Hampshire,98,2,0,99,93,6,1,96,85,12,3,94,82,16,2,93,13415,4449,33,07/01/2019,12/31/2020
New Jersey,96,4,0,98,89,8,3,93,85,12,3,94,83,14,3,93,25332,5588,23,07/01/2019,12/31/2020
New Mexico,96,3,1,98,91,7,2,95,84,13,3,94,82,16,2,93,11617,2483,22,07/01/2019,12/31/2020
New York,96,4,0,98,91,7,2,94,83,14,3,93,80,18,2,92,96342,24483,26,07/01/2019,12/31/2020
