"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","STTag","Score","Sample","Footnote","Start Date","End Date"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Emergency Department,EDV,Emergency department volume,Text,low,,,01/01/2019,12/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,77,3010,,10/01/2019,03/31/2020
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,168,108,,10/01/2019,09/30/2020
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,378,17,,10/01/2019,09/30/2020
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,10/01/2019,09/30/2020
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Emergency Department,OP-22,Left before being seen,Percentage,4,15430,,01/01/2019,12/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,1,10/01/2019,09/30/2020
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,1,10/01/2019,09/30/2020
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Emergency Department,EDV,Emergency department volume,Text,low,,,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,33,2067,,10/01/2019,03/31/2020
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,5,10/01/2019,09/30/2020
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,Not Available,Not Available,5,10/01/2019,09/30/2020
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,10/01/2019,09/30/2020
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Emergency Department,OP-22,Left before being seen,Percentage,3,12008,,01/01/2019,12/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,5,10/01/2019,09/30/2020
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,5,10/01/2019,09/30/2020
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Emergency Department,EDV,Emergency department volume,Text,Not Available,,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,83,1150,,10/01/2019,03/31/2020
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,5,10/01/2019,09/30/2020
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,Not Available,Not Available,5,10/01/2019,09/30/2020
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,10/01/2019,09/30/2020
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Emergency Department,OP-22,Left before being seen,Percentage,Not Available,Not Available,5,01/01/2019,12/31/2019
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,5,10/01/2019,09/30/2020
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,5,10/01/2019,09/30/2020
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,Maricopa,(602) 222-6444,Emergency Department,EDV,Emergency department volume,Text,high,,,01/01/2019,12/31/2019
