"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date"
AK,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,8,0,1,,04/01/2017,10/02/2019
AK,MORT_30_AMI,Death rate for heart attack patients,0,5,0,15,,07/01/2017,12/01/2019
AK,MORT_30_CABG,Death rate for CABG surgery patients,0,2,0,0,,07/01/2017,12/01/2019
AK,MORT_30_COPD,Death rate for COPD patients,0,11,0,11,,07/01/2017,12/01/2019
AK,MORT_30_HF,Death rate for heart failure patients,0,7,0,15,,07/01/2017,12/01/2019
AK,MORT_30_PN,Death rate for pneumonia patients,1,12,0,9,,07/01/2017,12/01/2019
AK,MORT_30_STK,Death rate for stroke patients,0,7,0,14,,07/01/2017,12/01/2019
AK,PSI_03,Pressure ulcer rate,2,6,0,0,,07/01/2018,12/31/2019
AK,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,5,0,2,,07/01/2018,12/31/2019
AK,PSI_06,Iatrogenic pneumothorax rate,0,8,0,0,,07/01/2018,12/31/2019
AK,PSI_08,In-hospital fall with hip fracture rate,0,8,0,0,,07/01/2018,12/31/2019
AK,PSI_09,Perioperative hemorrhage or hematoma rate,0,7,0,0,,07/01/2018,12/31/2019
AK,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,6,0,0,,07/01/2018,12/31/2019
AK,PSI_11,Postoperative respiratory failure rate,0,6,0,0,,07/01/2018,12/31/2019
AK,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,7,0,0,,07/01/2018,12/31/2019
AK,PSI_13,Postoperative sepsis rate,0,6,0,0,,07/01/2018,12/31/2019
AK,PSI_14,Postoperative wound dehiscence rate,0,7,0,0,,07/01/2018,12/31/2019
AK,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,7,0,0,,07/01/2018,12/31/2019
AK,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,7,0,Not Available,,07/01/2018,12/31/2019
AL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,40,0,7,,04/01/2017,10/02/2019
AL,MORT_30_AMI,Death rate for heart attack patients,1,32,0,44,,07/01/2017,12/01/2019
AL,MORT_30_CABG,Death rate for CABG surgery patients,0,21,0,2,,07/01/2017,12/01/2019
AL,MORT_30_COPD,Death rate for COPD patients,0,75,0,13,,07/01/2017,12/01/2019
AL,MORT_30_HF,Death rate for heart failure patients,4,62,2,20,,07/01/2017,12/01/2019
AL,MORT_30_PN,Death rate for pneumonia patients,7,71,1,10,,07/01/2017,12/01/2019
AL,MORT_30_STK,Death rate for stroke patients,3,41,0,38,,07/01/2017,12/01/2019
AL,PSI_03,Pressure ulcer rate,2,81,0,1,,07/01/2018,12/31/2019
AL,PSI_04,Death rate among surgical inpatients with serious treatable complications,4,25,0,19,,07/01/2018,12/31/2019
AL,PSI_06,Iatrogenic pneumothorax rate,0,84,0,0,,07/01/2018,12/31/2019
AL,PSI_08,In-hospital fall with hip fracture rate,0,84,0,0,,07/01/2018,12/31/2019
AL,PSI_09,Perioperative hemorrhage or hematoma rate,0,55,0,12,,07/01/2018,12/31/2019
AL,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,42,0,11,,07/01/2018,12/31/2019
AL,PSI_11,Postoperative respiratory failure rate,2,38,0,13,,07/01/2018,12/31/2019
AL,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2,54,0,13,,07/01/2018,12/31/2019
AL,PSI_13,Postoperative sepsis rate,1,39,0,12,,07/01/2018,12/31/2019
AL,PSI_14,Postoperative wound dehiscence rate,0,47,0,19,,07/01/2018,12/31/2019
AL,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,61,0,8,,07/01/2018,12/31/2019
AL,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,2,82,0,Not Available,,07/01/2018,12/31/2019
AR,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,35,0,7,,04/01/2017,10/02/2019
AR,MORT_30_AMI,Death rate for heart attack patients,0,26,0,42,,07/01/2017,12/01/2019
AR,MORT_30_CABG,Death rate for CABG surgery patients,0,15,0,2,,07/01/2017,12/01/2019
AR,MORT_30_COPD,Death rate for COPD patients,1,60,0,13,,07/01/2017,12/01/2019
AR,MORT_30_HF,Death rate for heart failure patients,4,53,0,17,,07/01/2017,12/01/2019
AR,MORT_30_PN,Death rate for pneumonia patients,6,65,1,3,,07/01/2017,12/01/2019
AR,MORT_30_STK,Death rate for stroke patients,5,24,0,38,,07/01/2017,12/01/2019
AR,PSI_03,Pressure ulcer rate,1,44,1,1,,07/01/2018,12/31/2019
AR,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,21,1,9,,07/01/2018,12/31/2019
AR,PSI_06,Iatrogenic pneumothorax rate,2,45,0,0,,07/01/2018,12/31/2019
AR,PSI_08,In-hospital fall with hip fracture rate,0,47,0,0,,07/01/2018,12/31/2019
AR,PSI_09,Perioperative hemorrhage or hematoma rate,0,40,0,4,,07/01/2018,12/31/2019
AR,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,33,0,9,,07/01/2018,12/31/2019
AR,PSI_11,Postoperative respiratory failure rate,2,31,0,9,,07/01/2018,12/31/2019
AR,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,39,0,4,,07/01/2018,12/31/2019
AR,PSI_13,Postoperative sepsis rate,2,29,0,11,,07/01/2018,12/31/2019
AR,PSI_14,Postoperative wound dehiscence rate,0,31,0,11,,07/01/2018,12/31/2019
AR,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,40,0,4,,07/01/2018,12/31/2019
AR,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,42,2,Not Available,,07/01/2018,12/31/2019
AS,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2017,10/02/2019
AS,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
AS,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
AS,MORT_30_COPD,Death rate for COPD patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
AS,MORT_30_HF,Death rate for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
AS,MORT_30_PN,Death rate for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
AS,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
AS,PSI_03,Pressure ulcer rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_06,Iatrogenic pneumothorax rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_08,In-hospital fall with hip fracture rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_09,Perioperative hemorrhage or hematoma rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_11,Postoperative respiratory failure rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_13,Postoperative sepsis rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_14,Postoperative wound dehiscence rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_15,Abdominopelvic accidental puncture or laceration rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AS,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,12/31/2019
AZ,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,51,0,6,,04/01/2017,10/02/2019
AZ,MORT_30_AMI,Death rate for heart attack patients,0,43,1,20,,07/01/2017,12/01/2019
AZ,MORT_30_CABG,Death rate for CABG surgery patients,0,24,0,1,,07/01/2017,12/01/2019
AZ,MORT_30_COPD,Death rate for COPD patients,0,54,0,21,,07/01/2017,12/01/2019
AZ,MORT_30_HF,Death rate for heart failure patients,1,51,2,21,,07/01/2017,12/01/2019
AZ,MORT_30_PN,Death rate for pneumonia patients,2,57,5,13,,07/01/2017,12/01/2019
AZ,MORT_30_STK,Death rate for stroke patients,2,39,0,17,,07/01/2017,12/01/2019
AZ,PSI_03,Pressure ulcer rate,2,62,0,0,,07/01/2018,12/31/2019
AZ,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,35,2,13,,07/01/2018,12/31/2019
AZ,PSI_06,Iatrogenic pneumothorax rate,0,64,0,0,,07/01/2018,12/31/2019
AZ,PSI_08,In-hospital fall with hip fracture rate,0,64,0,0,,07/01/2018,12/31/2019
AZ,PSI_09,Perioperative hemorrhage or hematoma rate,0,57,0,4,,07/01/2018,12/31/2019
AZ,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,52,0,3,,07/01/2018,12/31/2019
AZ,PSI_11,Postoperative respiratory failure rate,1,51,0,3,,07/01/2018,12/31/2019
AZ,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,56,0,4,,07/01/2018,12/31/2019
AZ,PSI_13,Postoperative sepsis rate,1,51,0,3,,07/01/2018,12/31/2019
AZ,PSI_14,Postoperative wound dehiscence rate,0,53,0,8,,07/01/2018,12/31/2019
AZ,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,55,0,6,,07/01/2018,12/31/2019
AZ,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,63,0,Not Available,,07/01/2018,12/31/2019
CA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3,197,7,79,,04/01/2017,10/02/2019
CA,MORT_30_AMI,Death rate for heart attack patients,1,185,2,125,,07/01/2017,12/01/2019
CA,MORT_30_CABG,Death rate for CABG surgery patients,1,88,0,35,,07/01/2017,12/01/2019
CA,MORT_30_COPD,Death rate for COPD patients,5,245,7,66,,07/01/2017,12/01/2019
CA,MORT_30_HF,Death rate for heart failure patients,5,213,43,65,,07/01/2017,12/01/2019
CA,MORT_30_PN,Death rate for pneumonia patients,14,231,43,43,,07/01/2017,12/01/2019
CA,MORT_30_STK,Death rate for stroke patients,6,197,6,101,,07/01/2017,12/01/2019
CA,PSI_03,Pressure ulcer rate,13,277,4,6,,07/01/2018,12/31/2019
CA,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,148,1,118,,07/01/2018,12/31/2019
CA,PSI_06,Iatrogenic pneumothorax rate,1,298,0,2,,07/01/2018,12/31/2019
CA,PSI_08,In-hospital fall with hip fracture rate,0,298,0,3,,07/01/2018,12/31/2019
CA,PSI_09,Perioperative hemorrhage or hematoma rate,2,285,0,7,,07/01/2018,12/31/2019
CA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,253,0,34,,07/01/2018,12/31/2019
CA,PSI_11,Postoperative respiratory failure rate,6,240,2,39,,07/01/2018,12/31/2019
CA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,8,278,2,6,,07/01/2018,12/31/2019
CA,PSI_13,Postoperative sepsis rate,2,250,0,33,,07/01/2018,12/31/2019
CA,PSI_14,Postoperative wound dehiscence rate,0,262,0,30,,07/01/2018,12/31/2019
CA,PSI_15,Abdominopelvic accidental puncture or laceration rate,5,283,0,6,,07/01/2018,12/31/2019
CA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,8,291,2,Not Available,,07/01/2018,12/31/2019
CO,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,55,1,13,,04/01/2017,10/02/2019
CO,MORT_30_AMI,Death rate for heart attack patients,1,31,0,31,,07/01/2017,12/01/2019
CO,MORT_30_CABG,Death rate for CABG surgery patients,0,13,0,3,,07/01/2017,12/01/2019
CO,MORT_30_COPD,Death rate for COPD patients,0,49,0,33,,07/01/2017,12/01/2019
CO,MORT_30_HF,Death rate for heart failure patients,0,48,1,32,,07/01/2017,12/01/2019
CO,MORT_30_PN,Death rate for pneumonia patients,0,61,2,21,,07/01/2017,12/01/2019
CO,MORT_30_STK,Death rate for stroke patients,2,30,0,40,,07/01/2017,12/01/2019
CO,PSI_03,Pressure ulcer rate,3,48,0,1,,07/01/2018,12/31/2019
CO,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,23,0,18,,07/01/2018,12/31/2019
CO,PSI_06,Iatrogenic pneumothorax rate,0,51,0,1,,07/01/2018,12/31/2019
CO,PSI_08,In-hospital fall with hip fracture rate,0,51,0,1,,07/01/2018,12/31/2019
CO,PSI_09,Perioperative hemorrhage or hematoma rate,0,51,0,0,,07/01/2018,12/31/2019
CO,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,49,0,1,,07/01/2018,12/31/2019
CO,PSI_11,Postoperative respiratory failure rate,1,49,0,0,,07/01/2018,12/31/2019
CO,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3,47,1,0,,07/01/2018,12/31/2019
CO,PSI_13,Postoperative sepsis rate,0,50,0,0,,07/01/2018,12/31/2019
