"State","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate"
AK,90.78,86.96,N/A (5),N/A (5),0,8,0,0,99.41,100.00,0.62,0.41
AL,73.97,88.57,N/A (5),N/A (5),0,22,0,1,94.87,100.00,0.19,0.12
AR,92.82,93.83,N/A (5),N/A (5),0,22,0,1,79.07,94.79,0.40,0.26
AZ,77.68,93.69,100.00,100.00,0,55,2,5,99.58,100.00,0.40,0.39
CA,62.62,90.59,85.34,98.71,3,268,0,38,94.80,100.00,0.53,0.37
CO,91.11,93.75,N/A (5),N/A (5),0,44,0,3,98.97,100.00,0.37,0.39
CT,90.49,93.51,N/A (5),N/A (5),0,24,0,2,94.69,97.74,0.55,0.53
DC,N/A (5),N/A (5),N/A (5),N/A (5),0,3,0,0,N/A (5),N/A (5),N/A (5),N/A (5)
DE,95.30,93.47,94.64,94.64,1,14,0,0,86.65,95.31,0.15,0.14
FL,62.24,85.71,99.82,99.95,2,184,2,16,98.76,100.00,0.56,0.34
GA,53.25,80.05,98.80,98.96,0,74,0,3,88.59,100.00,0.03,0.21
GU,0.00,0.00,N/A (5),N/A (5),0,2,0,0,100.00,100.00,0.43,0.43
HI,54.84,54.84,N/A (5),N/A (5),0,10,0,0,100.00,100.00,2.13,2.13
IA,83.58,90.97,N/A (5),N/A (5),1,14,0,1,99.67,100.00,0.15,0.12
ID,80.38,94.18,100.00,100.00,0,16,0,1,89.54,99.08,0.13,0.08
IL,91.03,94.54,100.00,100.00,0,56,0,8,97.82,100.00,3.17,0.27
IN,90.66,96.64,99.90,100.00,0,44,0,6,95.72,99.83,0.15,0.10
KS,79.92,91.89,100.00,100.00,0,25,0,5,99.35,100.00,0.37,0.37
KY,93.33,100.00,N/A (5),N/A (5),0,16,0,0,91.45,100.00,0.19,0.13
LA,86.35,94.12,93.90,93.90,0,29,0,2,99.30,100.00,0.44,0.41
MA,99.12,100.00,N/A (5),N/A (5),0,20,0,0,96.95,98.69,0.40,0.35
MD,92.27,97.38,N/A (5),N/A (5),0,66,0,8,88.54,100.00,0.51,0.44
ME,77.16,77.16,0.00,0.00,0,3,0,0,N/A (5),N/A (5),0.08,0.29
MI,91.16,96.77,60.21,60.21,0,42,0,3,99.21,100.00,1.07,0.29
MN,95.97,97.82,93.92,93.72,0,24,0,4,94.05,99.07,0.26,0.14
MO,85.03,92.76,N/A (5),N/A (5),0,38,0,5,99.46,100.00,0.38,0.28
MS,98.81,96.16,100.00,100.00,0,20,2,2,97.60,100.00,0.47,0.31
MT,99.67,100.00,N/A (5),N/A (5),0,5,0,0,98.77,99.00,0.15,0.26
NC,91.70,93.76,N/A (5),N/A (5),0,82,0,3,84.03,98.65,0.33,0.18
ND,100.00,100.00,N/A (5),N/A (5),0,4,0,1,98.09,98.42,0.22,0.28
NE,99.58,100.00,100.00,100.00,0,19,0,1,99.62,100.00,0.32,0.25
NH,96.94,95.24,N/A (5),N/A (5),0,11,0,0,98.83,99.55,0.63,0.64
NJ,78.39,80.74,100.00,100.00,2,94,0,12,98.67,100.00,0.40,0.33
NM,93.46,98.77,N/A (5),N/A (5),0,8,0,1,88.90,100.00,0.50,0.70
NV,74.05,76.19,N/A (5),N/A (5),0,19,0,0,98.88,100.00,0.54,0.53
NY,77.39,86.67,N/A (5),N/A (5),3,60,0,7,98.94,99.71,0.39,0.56
OH,89.03,94.97,96.27,95.08,0,75,0,7,98.84,100.00,0.35,0.20
OK,10.13,82.31,93.07,93.07,0,23,0,2,96.03,99.50,0.30,0.19
OR,96.61,96.44,100.00,100.00,0,30,0,2,98.53,99.39,0.41,0.27
PA,92.06,94.98,100.00,100.00,1,111,0,1,93.24,99.30,0.27,0.17
PR,N/A (5),N/A (5),98.13,98.13,0,2,0,1,100.00,N/A (5),0.48,0.39
RI,91.19,90.33,N/A (5),N/A (5),0,7,1,0,99.43,99.30,0.21,0.35
SC,90.71,92.55,N/A (5),N/A (5),0,33,1,1,99.22,99.50,0.22,0.16
SD,97.26,96.25,N/A (5),N/A (5),1,4,0,1,93.55,95.03,0.19,0.17
TN,90.58,81.88,100.00,100.00,0,44,0,6,99.94,100.00,0.30,0.28
TX,85.93,90.98,93.82,100.00,0,161,2,8,92.11,100.00,0.34,0.26
UT,93.35,96.88,94.60,94.60,0,13,0,1,98.77,99.87,0.37,0.28
VA,93.10,96.20,N/A (5),N/A (5),0,15,0,0,97.02,99.72,0.31,0.39
VI,N/A (5),N/A (5),N/A (5),N/A (5),0,0,0,0,N/A (5),N/A (5),N/A (5),N/A (5)
VT,N/A (5),N/A (5),N/A (5),N/A (5),0,1,0,0,N/A (5),N/A (5),N/A (5),N/A (5)
WA,92.68,96.51,99.38,99.54,1,48,0,3,85.10,99.08,0.29,0.27
WI,70.59,87.50,N/A (5),N/A (5),0,22,0,2,97.96,98.05,0.28,0.24
WV,94.62,92.73,N/A (5),N/A (5),0,4,0,0,96.69,96.69,0.25,0.50
WY,51.08,100.00,100.00,100.00,0,11,0,1,89.30,100.00,0.24,0.17
