"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,99,1,0,99,93,6,1,96,93,6,1,97,91,8,1,96,,1215,327,27,07/01/2019,12/31/2020
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,97,2,1,98,95,4,1,97,86,12,2,95,91,7,2,96,,1202,232,20,07/01/2019,12/31/2020
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,96,4,0,98,93,6,1,96,87,11,2,94,83,16,1,94,,1489,396,28,07/01/2019,12/31/2020
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,99,1,0,100,92,7,1,96,91,9,0,96,87,12,1,95,,1296,307,24,07/01/2019,12/31/2020
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,97,3,0,98,92,7,1,95,90,9,1,96,89,10,1,96,,1206,346,29,07/01/2019,12/31/2020
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,98,2,0,99,88,9,3,92,91,9,0,96,89,10,1,96,,1302,349,27,07/01/2019,12/31/2020
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,96,3,1,98,91,6,3,94,90,8,2,95,87,10,3,94,,1203,301,25,07/01/2019,12/31/2020
03C0001259,ARIZONA GASTROENTEROLOGY LTD,"7566 N. LA CHOLLA BLVD., STE. B",TUCSON,AZ,85741,,(520) 547-5847,,,,,,,,,,,,,,,,,4,,,,,
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,98,2,0,99,89,9,2,94,88,10,2,94,86,12,2,94,,1203,234,19,07/01/2019,12/31/2020
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,97,3,0,99,94,5,1,97,91,7,2,96,89,8,3,95,,1020,303,30,07/01/2019,12/31/2020
03C0001286,DIGESTIVE HEALTH SPECIALISTS,"8573 EAST PRINCESS DR, SUITE 117",SCOTTSDALE,AZ,85255,,(480) 513-2455,,,,,,,,,,,,,,,,,4,,,,,
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,95,4,1,97,91,7,2,95,87,12,1,94,83,13,4,92,,1095,365,33,07/01/2019,12/31/2020
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,97,3,0,98,91,7,2,95,90,9,1,96,87,12,1,95,,914,371,41,07/01/2019,12/31/2020
03C0001298,SURGICAL ELITE OF AVONDALE,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,98,2,0,99,92,6,2,95,92,7,1,96,89,10,1,96,,1115,234,21,07/01/2019,12/31/2020
