"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Services","Hospital overall rating","Hospital overall rating footnote"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,Jefferson,(205) 933-4515,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,Montgomery,(334) 260-4100,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,Tuscaloosa,(205) 554-2000,Acute Care - Veterans Administration,Veterans Health Administration,No,Not Available,22
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,Maricopa,(602) 222-6444,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,Pima,(520) 629-1821,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,Yavapai,(928) 445-4860,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,Washington,(479) 444-5058,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,Pulaski,(501) 257-1000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,Fresno,(559) 228-5338,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,Los Angeles,(562) 826-8000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
