"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,93,6,1,96,84,13,3,94,82,16,2,93,59138,14843,26,07/01/2023,06/30/2024
Alaska,95,4,1,97,93,6,1,96,81,15,4,92,79,18,3,92,5113,723,15,07/01/2023,06/30/2024
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,96,4,0,98,90,8,2,94,83,13,4,93,79,17,4,91,23883,6455,27,07/01/2023,06/30/2024
Arkansas,97,3,0,98,90,8,2,94,83,14,3,93,78,19,3,91,19982,4175,21,07/01/2023,06/30/2024
California,96,3,1,98,90,8,2,94,85,12,3,94,82,15,3,92,357066,90146,25,07/01/2023,06/30/2024
Colorado,97,3,0,98,92,7,1,95,86,12,2,94,83,15,2,93,89995,19860,22,07/01/2023,06/30/2024
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,99,92,6,2,95,86,12,2,94,84,14,2,94,38321,9096,24,07/01/2023,06/30/2024
Delaware,98,2,0,99,92,6,2,95,87,10,3,94,82,16,2,93,7583,1879,25,07/01/2023,06/30/2024
District of Columbia,94,5,1,97,89,9,2,94,77,19,4,91,76,19,5,90,16259,2633,16,07/01/2023,06/30/2024
Florida,96,3,1,98,91,7,2,94,86,11,3,94,84,13,3,93,101862,25023,25,07/01/2023,06/30/2024
Georgia,97,3,0,98,92,7,1,95,87,11,2,94,83,15,2,93,72020,14009,20,07/01/2023,06/30/2024
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,91,8,1,95,83,14,3,93,81,17,2,92,18579,5472,30,07/01/2023,06/30/2024
Idaho,97,3,0,98,92,7,1,95,85,13,2,94,80,18,2,93,20816,5179,26,07/01/2023,06/30/2024
Illinois,97,3,0,98,92,7,1,95,87,11,2,94,82,16,2,93,97923,22106,23,07/01/2023,06/30/2024
Indiana,98,2,0,99,93,6,1,96,87,11,2,95,82,16,2,93,21298,5758,27,07/01/2023,06/30/2024
Iowa,97,3,0,99,93,6,1,96,86,12,2,94,82,16,2,93,23906,7090,30,07/01/2023,06/30/2024
Kansas,97,3,0,99,92,7,1,95,85,13,2,94,81,17,2,93,31397,7925,25,07/01/2023,06/30/2024
Kentucky,97,2,1,98,92,6,2,95,83,14,3,93,79,19,2,92,66170,14590,23,07/01/2023,06/30/2024
Louisiana,98,2,0,99,93,6,1,96,90,8,2,96,88,10,2,95,34454,7756,23,07/01/2023,06/30/2024
Maine,98,2,0,99,94,5,1,97,85,13,2,94,82,16,2,93,34531,9833,28,07/01/2023,06/30/2024
Maryland,97,3,0,98,92,6,2,95,85,12,3,94,82,15,3,92,43432,9954,23,07/01/2023,06/30/2024
Massachusetts,97,3,0,98,92,7,1,95,85,12,3,94,82,16,2,93,39842,9540,24,07/01/2023,06/30/2024
Michigan,97,3,0,98,92,6,2,95,85,12,3,93,79,18,3,92,66718,16380,25,07/01/2023,06/30/2024
Minnesota,98,2,0,99,92,7,1,95,87,11,2,94,82,16,2,93,28841,7709,27,07/01/2023,06/30/2024
