"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,2,1,98,93,5,2,96,90,8,2,95,87,12,1,95,4538,1111,25,07/01/2023,06/30/2024
Alaska,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,98,91,7,2,95,90,8,2,95,87,11,2,95,28046,7443,27,07/01/2023,06/30/2024
Arkansas,,,,,,,,,,,,,,,,,,,,,
California,97,3,0,98,91,7,2,95,88,10,2,95,87,11,2,95,57348,14204,25,07/01/2023,06/30/2024
Colorado,96,3,1,98,91,7,2,95,87,10,3,94,83,14,3,93,21901,5860,27,07/01/2023,06/30/2024
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98,2,0,99,93,6,1,96,90,8,2,96,91,7,2,96,4339,1158,27,07/01/2023,06/30/2024
Delaware,,,,,,,,,,,,,,,,,,,,,
District of Columbia,96,3,1,97,92,7,1,95,87,11,2,94,86,13,1,95,2212,314,14,07/01/2023,06/30/2024
Florida,97,3,0,98,92,6,2,95,89,9,2,95,87,11,2,95,65107,19253,30,07/01/2023,06/30/2024
Georgia,98,2,0,99,92,7,1,95,91,7,2,96,90,8,2,96,16693,3950,24,07/01/2023,06/30/2024
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,98,2,0,99,92,7,1,95,93,6,1,97,89,9,2,96,4488,1538,34,07/01/2023,06/30/2024
Idaho,99,1,0,99,94,5,1,97,90,8,2,96,86,11,3,94,2669,741,28,07/01/2023,06/30/2024
Illinois,97,3,0,98,92,6,2,95,89,9,2,95,88,10,2,95,7961,2186,28,07/01/2023,06/30/2024
Indiana,97,3,0,99,91,7,2,95,88,10,2,95,87,11,2,95,8423,2547,30,07/01/2023,06/30/2024
Iowa,98,2,0,99,93,6,1,96,91,8,1,96,88,10,2,95,1358,476,35,07/01/2023,06/30/2024
Kansas,98,2,0,99,87,10,3,92,92,7,1,96,88,10,2,95,1943,650,33,07/01/2023,06/30/2024
Kentucky,,,,,,,,,,,,,,,,,,,,,
Louisiana,97,2,1,98,92,6,2,96,89,9,2,95,88,10,2,95,6228,1767,28,07/01/2023,06/30/2024
Maine,99,1,0,100,95,4,1,97,98,1,1,98,94,5,1,98,812,227,28,07/01/2023,06/30/2024
