"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite Value","PSI 90 Composite Value Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Score Footnote","Payment Reduction","Payment Reduction Footnote"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,2024,1.1140,,1.0130,,01/01/2021,06/30/2022,1.136,,0.5127,,0.437,,-0.4856,,0.739,,-0.1381,,0.631,,0.4753,,0.788,,-0.1534,,01/01/2022,12/31/2022,0.2040,,No,
MARSHALL MEDICAL CENTERS,010005,AL,2024,0.9975,,0.0239,,01/01/2021,06/30/2022,2.349,,2.2883,,0.664,,-0.0616,,1.522,,1.1335,,0.487,,0.0436,,0.531,,-0.5591,,01/01/2022,12/31/2022,0.4781,,Yes,
NORTH ALABAMA MEDICAL CENTER,010006,AL,2024,1.1319,,1.1655,,01/01/2021,06/30/2022,0.661,,-0.2785,,0.329,,-0.6874,,0.000,,-1.3383,,0.043,,-1.2874,,1.589,,1.1110,,01/01/2022,12/31/2022,-0.2192,,No,
MIZELL MEMORIAL HOSPITAL,010007,AL,2024,0.9749,,-0.1679,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.386,,-0.2592,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.2135,,No,
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
ST. VINCENT'S EAST,010011,AL,2024,0.8225,,-1.4623,,01/01/2021,06/30/2022,0.933,,0.1746,,0.756,,0.1102,,0.225,,-0.9729,,0.674,,0.6042,,0.861,,-0.0382,,01/01/2022,12/31/2022,-0.2641,,No,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2024,0.9424,,-0.4441,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,N/A,13,N/A,5,0.316,,-0.4690,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7383,,No,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2024,1.1690,,1.4804,,01/01/2021,06/30/2022,0.377,,-0.7515,,0.461,,-0.4408,,0.000,,-1.3383,,0.556,,0.2505,,0.732,,-0.2418,,01/01/2022,12/31/2022,-0.1736,,No,
CALLAHAN EYE HOSPITAL,010018,AL,2024,0.9884,,-0.0534,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0534,,No,
HELEN KELLER HOSPITAL,010019,AL,2024,0.9927,,-0.0170,,01/01/2021,06/30/2022,2.255,,2.2883,,0.183,,-0.9600,,2.747,,2.1665,,0.464,,-0.0253,,2.738,,2.2744,,01/01/2022,12/31/2022,0.9545,,Yes,
DALE MEDICAL CENTER,010021,AL,2024,1.1405,,1.2383,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,11,2.3099,11,N/A,11,2.2744,11,01/01/2022,12/31/2022,1.9409,,Yes,
CHEROKEE MEDICAL CENTER,010022,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,2024,1.4946,,2.3062,,01/01/2021,06/30/2022,1.837,,1.6803,,1.470,,1.4438,,1.152,,0.5326,,0.359,,-0.3401,,2.053,,1.8434,,01/01/2022,12/31/2022,1.2444,,Yes,
JACKSON HOSPITAL & CLINIC INC,010024,AL,2024,1.0393,,0.3787,,01/01/2021,06/30/2022,3.714,,2.2883,,1.966,,2.3067,,0.569,,-0.4142,,0.815,,1.0269,,3.754,,2.2744,,01/01/2022,12/31/2022,1.3101,,Yes,
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,2024,N/A,5,N/A,5,01/01/2021,06/30/2022,1.004,,0.2929,,0.733,,0.0672,,0.991,,0.2711,,0.892,,1.2577,,0.274,,-0.9648,,01/01/2022,12/31/2022,0.1848,,No,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,2024,1.3112,,2.3062,,01/01/2021,06/30/2022,0.953,,0.2079,,0.653,,-0.0822,,0.873,,0.0795,,0.395,,-0.2322,,1.766,,1.3904,,01/01/2022,12/31/2022,0.6116,,Yes,
COMMUNITY HOSPITAL INC,010034,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,2024,0.9113,,-0.7084,,01/01/2021,06/30/2022,0.000,,-1.3794,,1.032,,0.6257,,1.083,,0.4206,,0.295,,-0.5320,,0.000,,-1.3973,,01/01/2022,12/31/2022,-0.4951,,No,
ANDALUSIA HEALTH,010036,AL,2024,0.9457,,-0.4159,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.9161,,No,
HUNTSVILLE HOSPITAL,010039,AL,2024,1.4251,,2.3062,,01/01/2021,06/30/2022,1.387,,0.9308,,0.759,,0.1158,,0.880,,0.0909,,0.759,,0.8590,,1.350,,0.7337,,01/01/2022,12/31/2022,0.8394,,Yes,
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,2024,1.6449,,2.3062,,01/01/2021,06/30/2022,1.044,,0.3595,,0.762,,0.1214,,0.000,,-1.3383,,0.128,,-1.0326,,2.326,,2.2744,,01/01/2022,12/31/2022,0.4484,,Yes,
MARION REGIONAL MEDICAL CENTER,010044,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
FAYETTE MEDICAL CENTER,010045,AL,2024,0.9838,,-0.0923,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.0923,,No,
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,2024,0.8631,,-1.1180,,01/01/2021,06/30/2022,0.351,,-0.7948,,0.000,,-1.3018,,0.000,,-1.3383,,0.225,,-0.7418,,0.000,,-1.3973,,01/01/2022,12/31/2022,-1.1153,,No,
MEDICAL CENTER ENTERPRISE,010049,AL,2024,0.9842,,-0.0889,,01/01/2021,06/30/2022,N/A,13,N/A,5,0.000,,-1.3018,,0.799,,-0.0407,,1.255,,2.3099,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.2196,,No,
GREENE COUNTY HOSPITAL,010051,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
FLOWERS HOSPITAL,010055,AL,2024,0.8350,,-1.3558,,01/01/2021,06/30/2022,0.499,,-0.5483,,0.188,,-0.9507,,0.410,,-0.6724,,0.312,,-0.4810,,0.707,,-0.2813,,01/01/2022,12/31/2022,-0.7149,,No,
ST VINCENT'S BIRMINGHAM,010056,AL,2024,1.0925,,0.8307,,01/01/2021,06/30/2022,0.435,,-0.6549,,0.380,,-0.5921,,0.426,,-0.6465,,0.548,,0.2265,,0.786,,-0.1566,,01/01/2022,12/31/2022,-0.1655,,No,
BIBB MEDICAL CENTER,010058,AL,2024,0.9954,,0.0057,,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.000,,-1.4163,,N/A,13,N/A,5,01/01/2022,12/31/2022,-0.7053,,No,
LAWRENCE MEDICAL CENTER,010059,AL,2024,N/A,13,N/A,5,01/01/2021,06/30/2022,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2022,12/31/2022,N/A,5,No,
HIGHLANDS MEDICAL CENTER,010061,AL,2024,1.0274,,0.2779,,01/01/2021,06/30/2022,N/A,13,N/A,5,2.762,,2.3067,,N/A,13,N/A,5,0.309,,-0.4900,,N/A,13,N/A,5,01/01/2022,12/31/2022,0.6982,,Yes,
