"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.308,,10/01/2022,09/30/2023
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.828,,10/01/2022,09/30/2023
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.521,,10/01/2022,09/30/2023
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.659,,10/01/2022,09/30/2023
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.407,,10/01/2022,09/30/2023
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.981,,10/01/2022,09/30/2023
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,1.009,,10/01/2022,09/30/2023
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,2.338,,10/01/2022,09/30/2023
AK,HAI_3_SIR,SSI - Colon Surgery,1.570,,10/01/2022,09/30/2023
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.149,,10/01/2022,09/30/2023
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.932,,10/01/2022,09/30/2023
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.887,,10/01/2022,09/30/2023
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.088,,10/01/2022,09/30/2023
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.533,,10/01/2022,09/30/2023
AK,HAI_5_SIR,MRSA Bacteremia,0.241,,10/01/2022,09/30/2023
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.281,,10/01/2022,09/30/2023
