"Facility ID","Facility Name","MSA","MSA Title","HCAHPS HLMR","HCAHPS HLMR Percentile","HCAHPS Start Date","HCAHPS End Date","HCAHPS Footnote","COMP-HIP-KNEE","COMP-HIP-KNEE Percentile","COMP Start Date","COMP End Date","COMP Footnote","PRO","PRO Start Date","PRO End Date","Reconciliation Footnote"
010023,BAPTIST MEDICAL CENTER SOUTH,33860,"Montgomery, AL",83.75,47%,07/01/2021,06/30/2022,,2.66366,86%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,26300,"Hot Springs, AR",83.69,46%,07/01/2021,06/30/2022,,2.59858,89%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
040078,NATIONAL PARK MEDICAL CENTER,26300,"Hot Springs, AR",78.94,8%,07/01/2021,06/30/2022,,4.12348,6%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
050056,ANTELOPE VALLEY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",80.69,16%,07/01/2021,06/30/2022,,2.74486,81%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050069,PROVIDENCE ST JOSEPH HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",84.81,62%,07/01/2021,06/30/2022,,2.93553,65%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,31080,"Los Angeles-Long Beach-Anaheim, CA",83.19,40%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050096,WEST COVINA MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",N/A,N/A,07/01/2021,06/30/2022,***,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050104,SAINT FRANCIS MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",78.13,5%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",84.25,54%,07/01/2021,06/30/2022,,2.88767,69%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050124,USC VERDUGO HILLS HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",82.94,37%,07/01/2021,06/30/2022,,3.47869,26%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050126,VALLEY PRESBYTERIAN HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",82.5,32%,07/01/2021,06/30/2022,,3.58919,20%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
050132,SAN GABRIEL VALLEY MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.56,32%,07/01/2021,06/30/2022,,3.09996,51%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,31080,"Los Angeles-Long Beach-Anaheim, CA",68.31,0%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050168,PROVIDENCE ST JUDE MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",84.88,63%,07/01/2021,06/30/2022,,4.08517,6%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050169,PIH HEALTH HOSPITAL-WHITTIER,31080,"Los Angeles-Long Beach-Anaheim, CA",85.75,74%,07/01/2021,06/30/2022,,3.13939,49%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050191,ST MARY MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.88,36%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050204,PALMDALE REGIONAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",82.31,30%,07/01/2021,06/30/2022,,5.19895,0%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,31080,"Los Angeles-Long Beach-Anaheim, CA",86.06,77%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,5,N,07/01/2021,06/30/2022,
050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",81.5,22%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050230,GARDEN GROVE HOSPITAL & MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",77.88,5%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,5,N,07/01/2021,06/30/2022,
050231,POMONA VALLEY HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",81.56,22%,07/01/2021,06/30/2022,,2.85966,72%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050238,METHODIST HOSPITAL OF SOUTHERN CA,31080,"Los Angeles-Long Beach-Anaheim, CA",82.25,29%,07/01/2021,06/30/2022,,3.07547,53%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050281,ALHAMBRA HOSPITAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",85.56,72%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050350,BEVERLY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",80.75,16%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050351,TORRANCE MEMORIAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",85.5,71%,07/01/2021,06/30/2022,,1.9272,99%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050353,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,31080,"Los Angeles-Long Beach-Anaheim, CA",83.88,49%,07/01/2021,06/30/2022,,2.79502,78%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050376,LAC/HARBOR-UCLA MED CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",80.31,13%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050382,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",80.31,13%,07/01/2021,06/30/2022,,3.07253,54%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050393,PIH HOSPITAL - DOWNEY,31080,"Los Angeles-Long Beach-Anaheim, CA",84.19,53%,07/01/2021,06/30/2022,,3.33619,35%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050426,WEST ANAHEIM MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",78.19,6%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
050471,GOOD SAMARITAN HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",81.25,20%,07/01/2021,06/30/2022,,3.86367,11%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,*
050481,WEST HILLS HOSPITAL & MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",81.06,18%,07/01/2021,06/30/2022,,3.01017,69%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050485,LONG BEACH MEMORIAL MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",84.44,56%,07/01/2021,06/30/2022,,3.5738,21%,04/01/2019,03/31/2022,,N,07/01/2021,06/30/2022,
050526,HUNTINGTON BEACH HOSPITAL,31080,"Los Angeles-Long Beach-Anaheim, CA",77,3%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,5,N,07/01/2021,06/30/2022,
050551,LOS ALAMITOS MEDICAL CENTER,31080,"Los Angeles-Long Beach-Anaheim, CA",78.38,6%,07/01/2021,06/30/2022,,N/A,N/A,04/01/2019,03/31/2022,1,N,07/01/2021,06/30/2022,
