"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,98,2,0,99,94,5,1,96,91,8,1,96,89,10,1,96,,1314,356,27,10/01/2022,09/30/2023
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,97,2,1,98,93,6,1,96,89,9,2,96,89,9,2,96,,1532,395,26,10/01/2022,09/30/2023
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,97,3,0,98,94,5,1,96,88,11,1,95,88,11,1,95,,1761,444,25,10/01/2022,09/30/2023
01C0001053,JACKSON SURGERY CENTER LLC,1725 PARK PL,MONTGOMERY,AL,36106,,(334) 293-3920,,,,,,,,,,,,,,,,,4,,,,,
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,98,2,0,99,92,7,1,95,92,6,2,96,88,10,2,95,,1452,358,25,10/01/2022,09/30/2023
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98,2,0,99,91,8,1,95,92,7,1,96,90,9,1,96,,1146,311,27,10/01/2022,09/30/2023
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97,3,0,98,90,7,3,93,91,7,2,95,88,10,2,95,,1107,255,23,10/01/2022,09/30/2023
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,99,1,0,99,94,5,1,97,96,3,1,97,91,7,2,96,,560,170,30,10/01/2022,09/30/2023
03C0001249,SCOTTSDALE ENDOSCOPY CENTER,9787 NORTH 91ST ST SUITE 103,SCOTTSDALE,AZ,85258,,(480) 657-0889,,,,,,,,,,,,,,,,,4,,,,,
03C0001259,ARIZONA GASTROENTEROLOGY LTD,"7566 N. LA CHOLLA BLVD., STE. B",TUCSON,AZ,85741,,(520) 547-5847,95,4,1,97,88,10,2,93,82,15,3,93,77,20,3,91,,1324,438,33,10/01/2022,09/30/2023
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,95,4,1,97,88,9,3,92,82,14,4,92,78,18,4,91,,1202,198,16,10/01/2022,09/30/2023
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,99,1,0,99,95,4,1,97,93,6,1,97,91,8,1,97,,1222,316,26,10/01/2022,09/30/2023
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,97,2,1,98,92,7,1,95,89,9,2,95,84,14,2,94,,1009,307,30,10/01/2022,09/30/2023
