"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,PC_01,Elective Delivery,4,26,10/01/2022,09/30/2023
AL,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
AR,PC_01,Elective Delivery,4,26,10/01/2022,09/30/2023
AS,PC_01,Elective Delivery,Not Available,5,10/01/2022,09/30/2023
AZ,PC_01,Elective Delivery,4,26,10/01/2022,09/30/2023
CA,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
CO,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
CT,PC_01,Elective Delivery,1,26,10/01/2022,09/30/2023
DC,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
DE,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
FL,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
GA,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
GU,PC_01,Elective Delivery,Not Available,5,10/01/2022,09/30/2023
HI,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
IA,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
ID,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
IL,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
IN,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
KS,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
KY,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
LA,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
MA,PC_01,Elective Delivery,1,26,10/01/2022,09/30/2023
MD,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
ME,PC_01,Elective Delivery,1,26,10/01/2022,09/30/2023
MI,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
MN,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
MO,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
MP,PC_01,Elective Delivery,Not Available,5,10/01/2022,09/30/2023
MS,PC_01,Elective Delivery,4,26,10/01/2022,09/30/2023
MT,PC_01,Elective Delivery,1,26,10/01/2022,09/30/2023
NC,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
ND,PC_01,Elective Delivery,0,26,10/01/2022,09/30/2023
NE,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
NH,PC_01,Elective Delivery,1,26,10/01/2022,09/30/2023
NJ,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
NM,PC_01,Elective Delivery,7,26,10/01/2022,09/30/2023
NV,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
NY,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
OH,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
OK,PC_01,Elective Delivery,4,26,10/01/2022,09/30/2023
OR,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
PA,PC_01,Elective Delivery,1,26,10/01/2022,09/30/2023
PR,PC_01,Elective Delivery,5,26,10/01/2022,09/30/2023
RI,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
SC,PC_01,Elective Delivery,1,26,10/01/2022,09/30/2023
SD,PC_01,Elective Delivery,7,26,10/01/2022,09/30/2023
TN,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
TX,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
UT,PC_01,Elective Delivery,5,26,10/01/2022,09/30/2023
VA,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
VI,PC_01,Elective Delivery,Not Available,5,10/01/2022,09/30/2023
VT,PC_01,Elective Delivery,11,26,10/01/2022,09/30/2023
WA,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
WI,PC_01,Elective Delivery,2,26,10/01/2022,09/30/2023
WV,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
WY,PC_01,Elective Delivery,3,26,10/01/2022,09/30/2023
