"State","Measure ID","Measure Name","Number Less Than National Payment","Number Same as National Payment","Number Greater Than National Payment","Number of Hospitals Too Few","Footnote","Start Date","End Date"
AK,PAYM_30_AMI,Payment for heart attack patients,1,4,0,12,,07/01/2019,06/30/2022
AK,PAYM_30_HF,Payment for heart failure patients,4,3,0,13,,07/01/2019,06/30/2022
AK,PAYM_30_PN,Payment for pneumonia patients,7,4,0,10,,07/01/2019,06/30/2022
AK,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,5,3,0,2,,04/01/2019,03/31/2022
AL,PAYM_30_AMI,Payment for heart attack patients,1,25,2,45,,07/01/2019,06/30/2022
AL,PAYM_30_HF,Payment for heart failure patients,4,49,4,27,,07/01/2019,06/30/2022
AL,PAYM_30_PN,Payment for pneumonia patients,11,48,5,22,,07/01/2019,06/30/2022
AL,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,10,21,3,12,,04/01/2019,03/31/2022
AR,PAYM_30_AMI,Payment for heart attack patients,0,21,4,34,,07/01/2019,06/30/2022
AR,PAYM_30_HF,Payment for heart failure patients,2,37,6,27,,07/01/2019,06/30/2022
AR,PAYM_30_PN,Payment for pneumonia patients,12,41,7,13,,07/01/2019,06/30/2022
AR,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,6,15,5,14,,04/01/2019,03/31/2022
AS,PAYM_30_AMI,Payment for heart attack patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022
AS,PAYM_30_HF,Payment for heart failure patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022
AS,PAYM_30_PN,Payment for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022
AS,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5,04/01/2019,03/31/2022
AZ,PAYM_30_AMI,Payment for heart attack patients,0,35,2,21,,07/01/2019,06/30/2022
AZ,PAYM_30_HF,Payment for heart failure patients,1,43,6,22,,07/01/2019,06/30/2022
AZ,PAYM_30_PN,Payment for pneumonia patients,5,40,10,21,,07/01/2019,06/30/2022
AZ,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,11,21,1,26,,04/01/2019,03/31/2022
CA,PAYM_30_AMI,Payment for heart attack patients,4,134,15,136,,07/01/2019,06/30/2022
