"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,98,92,7,1,95,85,13,2,94,81,17,2,93,34549,8463,25,01/01/2022,12/31/2022
Alaska,95,4,1,97,89,8,3,93,79,16,5,92,78,20,2,91,4124,660,16,01/01/2022,12/31/2022
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,95,4,1,97,88,10,2,93,82,13,5,93,79,18,3,92,21997,5905,27,01/01/2022,12/31/2022
Arkansas,96,3,1,98,91,7,2,94,82,15,3,93,79,19,2,92,13756,3206,23,01/01/2022,12/31/2022
California,95,4,1,97,89,8,3,93,84,13,3,93,82,15,3,92,346623,85627,26,01/01/2022,12/31/2022
Colorado,97,3,0,98,92,7,1,95,87,11,2,94,85,13,2,94,60319,15718,26,01/01/2022,12/31/2022
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,98,91,7,2,95,85,12,3,94,81,17,2,93,22960,6177,27,01/01/2022,12/31/2022
Delaware,97,3,0,99,92,6,2,95,86,12,2,94,81,17,2,93,7202,1925,27,01/01/2022,12/31/2022
District of Columbia,92,6,2,95,88,10,2,93,75,19,6,90,75,20,5,89,2179,408,19,01/01/2022,12/31/2022
Florida,96,3,1,97,89,9,2,93,81,15,4,93,83,14,3,93,57958,14304,25,01/01/2022,12/31/2022
Georgia,96,4,0,98,91,7,2,95,86,11,3,94,83,15,2,93,46048,9741,22,01/01/2022,12/31/2022
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,4,0,98,90,8,2,94,84,13,3,93,83,15,2,93,9295,2786,30,01/01/2022,12/31/2022
Idaho,97,2,1,98,92,7,1,95,84,14,2,93,79,18,3,92,18570,4973,28,01/01/2022,12/31/2022
Illinois,97,3,0,98,92,6,2,95,86,11,3,94,81,17,2,93,64544,16228,26,01/01/2022,12/31/2022
Indiana,98,2,0,99,92,7,1,95,88,10,2,94,82,16,2,93,37394,10679,30,01/01/2022,12/31/2022
Iowa,98,2,0,99,93,6,1,96,88,10,2,94,82,17,1,93,13047,4082,35,01/01/2022,12/31/2022
Kansas,97,3,0,98,91,7,2,95,85,12,3,94,80,18,2,92,25498,6971,28,01/01/2022,12/31/2022
Kentucky,97,2,1,98,92,6,2,95,86,12,2,94,84,14,2,93,11807,2304,22,01/01/2022,12/31/2022
Louisiana,97,3,0,98,92,6,2,95,87,11,2,95,85,13,2,94,35710,7367,22,01/01/2022,12/31/2022
Maine,97,3,0,98,93,6,1,96,84,13,3,94,84,14,2,94,21646,6375,29,01/01/2022,12/31/2022
Maryland,96,4,0,98,91,7,2,94,84,12,4,93,81,16,3,92,26142,6802,26,01/01/2022,12/31/2022
Massachusetts,97,3,0,98,91,7,2,95,86,12,2,94,83,15,2,93,33016,8348,25,01/01/2022,12/31/2022
Michigan,96,4,0,98,91,7,2,94,82,14,4,92,77,20,3,91,61277,16345,27,01/01/2022,12/31/2022
Minnesota,98,2,0,99,91,7,2,95,84,14,2,93,79,19,2,92,17265,5089,30,01/01/2022,12/31/2022
Mississippi,97,3,0,98,91,7,2,95,87,10,3,94,82,16,2,93,19393,3959,21,01/01/2022,12/31/2022
Missouri,97,3,0,98,91,7,2,95,84,13,3,93,80,18,2,92,28806,7190,25,01/01/2022,12/31/2022
Montana,97,3,0,98,91,8,1,95,83,15,2,93,79,19,2,92,23689,6324,27,01/01/2022,12/31/2022
Nebraska,97,3,0,99,91,7,2,94,84,13,3,93,79,19,2,92,14107,3868,29,01/01/2022,12/31/2022
Nevada,94,5,1,97,87,10,3,92,81,15,4,92,79,17,4,91,16264,3862,24,01/01/2022,12/31/2022
New Hampshire,98,2,0,99,94,5,1,97,88,10,2,94,84,14,2,94,12748,4076,32,01/01/2022,12/31/2022
New Jersey,96,3,1,98,90,8,2,94,86,11,3,94,82,15,3,93,22421,5251,23,01/01/2022,12/31/2022
New Mexico,96,3,1,98,91,7,2,94,84,14,2,94,80,18,2,92,35785,7504,21,01/01/2022,12/31/2022
New York,96,4,0,98,91,7,2,94,83,14,3,93,79,19,2,92,113496,27374,24,01/01/2022,12/31/2022
North Carolina,97,3,0,98,92,7,1,96,87,11,2,94,83,15,2,93,79593,21252,27,01/01/2022,12/31/2022
North Dakota,97,3,0,99,93,6,1,96,80,17,3,93,73,25,2,90,12513,3629,29,01/01/2022,12/31/2022
Ohio,97,3,0,98,92,7,1,95,87,11,2,94,82,16,2,93,161607,40445,25,01/01/2022,12/31/2022
Oklahoma,97,3,0,98,92,6,2,95,88,10,2,95,86,13,1,95,44062,11207,26,01/01/2022,12/31/2022
Oregon,97,3,0,98,91,7,2,95,85,13,2,94,82,16,2,93,19558,4941,26,01/01/2022,12/31/2022
Pennsylvania,97,3,0,99,92,7,1,95,87,11,2,94,84,14,2,94,74126,22500,31,01/01/2022,12/31/2022
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,99,1,0,99,90,8,2,94,91,8,1,96,92,7,1,97,1370,410,31,01/01/2022,12/31/2022
South Carolina,96,4,0,98,91,7,2,95,84,13,3,93,80,18,2,92,21849,5432,25,01/01/2022,12/31/2022
South Dakota,98,2,0,99,93,6,1,96,86,12,2,94,87,12,1,95,16381,2922,18,01/01/2022,12/31/2022
Tennessee,96,4,0,98,91,7,2,95,85,12,3,94,82,16,2,93,69213,15891,23,01/01/2022,12/31/2022
Texas,96,4,0,98,91,7,2,95,88,10,2,95,85,13,2,94,129230,27198,21,01/01/2022,12/31/2022
Utah,97,3,0,98,91,8,1,95,88,10,2,95,86,12,2,94,73300,16470,22,01/01/2022,12/31/2022
Vermont,98,2,0,99,92,7,1,96,86,12,2,94,84,15,1,94,14744,4284,30,01/01/2022,12/31/2022
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,92,7,1,95,87,11,2,94,82,16,2,93,68483,16864,25,01/01/2022,12/31/2022
Washington,97,3,0,98,91,7,2,95,83,14,3,93,82,16,2,93,63649,15005,24,01/01/2022,12/31/2022
